Country_Name,Country_Code,year,Total_Revenue_excl_SC,Tax_Revenue_incl_SC,Tax_Revenue,Total_Non_Tax_Revenue,Direct_Taxes,Income_Taxes,PIT,CIT,Indirect_Taxes,Tax_on_Goods_and_Services,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Export_Taxes,Social_Contributions,Property_Tax,Other_Taxes
India,IND,2018,0.19139460745317521,0.17732753524032482,0.17732753524032482,0.0,0.06813510079998593,0.06048585153235642,0.025351975810608343,0.03513387572174808,0.10954029354755242,0.10332018090579653,0.082210250174234,0.02020987070601156,0.006237796803370706,,,0.0076492492676295066,0.0005345167567226419
India,IND,2019,0.18528837941258255,0.15846404544205736,0.15846404544205736,0.0,0.05866021286077504,0.0518823919010518,0.024518840022823434,0.027363551878228372,0.10014863114241536,0.09473022764574424,0.0748232879831977,0.019100581037056974,0.005369855544782955,,,0.006777820959723233,0.0005101080162446949
India,IND,2020,0.18687576911292447,0.16409774328751567,0.16409774328751567,0.0,0.05410326027427785,0.04615507344141778,0.023567842924550036,0.022587230516867746,0.1102872054176941,0.10439325499717152,0.07690825404253185,0.026926203679085083,0.005672129636522843,,,0.007948186832860067,0.0004878956550980544
Senegal,SEN,2010,0.15396539223327424,0.148766941980728,0.148766941980728,0.0051984502525462255,0.04110878839342914,0.04086689184096534,0.023782987025059047,0.013211387033291966,0.10765815358729887,0.07603084752618353,0.05951972669098548,0.016511120835198054,0.022612515412307452,,0.0,0.00024189655246379567,0.00901479064880789
Senegal,SEN,2011,0.16305551954956232,0.1525415441322563,0.1525415441322563,0.010513975417306034,0.03949556492724205,0.03922293647786433,0.025052183815644082,0.011616342625659427,0.11304597920501425,0.08134995861214352,0.06154290909430994,0.01980704951783358,0.02415725129703461,,0.0,0.00027262844937772125,0.007538769295836119
Senegal,SEN,2012,0.15666085378092648,0.14880402082145042,0.14880402082145042,0.007856832959476066,0.042057681774963204,0.04178296733582069,0.025900077322356763,0.012417092649241894,0.1067463390464872,0.07363995255654386,0.05719444737171605,0.016445505184827812,0.021449703408247943,,0.0,0.0002747144391425198,0.011656683081695398
Senegal,SEN,2013,0.1570861639866543,0.14745670441535255,0.14745670441535255,0.00962945957130173,0.03980959505696691,0.03980959505696691,0.022824594859693015,0.014529594763349947,0.10764710935838563,0.07076905487600794,0.05468508171622614,0.01608397315978181,0.02327297324327912,,0.0,0.0,0.013605081239098564
Senegal,SEN,2014,0.16627146400029705,0.1518316185607034,0.1518316185607034,0.014439845439593639,0.043779846241534165,0.04110114401630519,0.021282552998095915,0.016321645439778307,0.10805177231916926,0.08045319056016043,0.0575828873751808,0.02287030318497962,0.022622927642539325,,0.0,0.0026787022252289733,0.00497565411646951
Senegal,SEN,2015,0.17075642204831257,0.15197895016800445,0.15197895016800445,0.018777471880308125,0.04442546801958386,0.04143425224391334,0.020723190178472017,0.014361811252063775,0.10755348214842056,0.08138238267855527,0.05870328289104689,0.022679099787508383,0.021654521148863074,,0.0,0.002991215775670519,0.004516578321002222
Senegal,SEN,2016,0.18525433784580456,0.15851507660512845,0.15851507660512845,0.026739261240676118,0.04808342123904895,0.045457728327269555,0.026092088437204543,0.015359128687320731,0.11043165536607949,0.08506315066403766,0.057936009522221846,0.027127141141815813,0.020786571370445563,,0.0,0.002625692911779397,0.004581933331596268
Senegal,SEN,2017,0.1732501810422763,0.15133120146117113,0.15133120146117113,0.021918979581105193,0.04490788456229091,0.04458498055544893,0.021369388357794047,0.022597173701725322,0.1064233168988802,0.08080467917015671,0.05734817961881908,0.02345649955133763,0.02184961016194825,,0.0,0.000322904006841978,0.0037690275667752312
Senegal,SEN,2018,0.16804714012914873,0.15420715367752666,0.15420715367752666,0.013839986451622077,0.04978939790488002,0.04674682028564369,0.024300110078837884,0.02174455699000779,0.10441775577264663,0.07872549668939938,0.056937310841113274,0.02178818584828611,0.022495779939950528,,0.0,0.0030425776192363257,0.0031964791432967264
Senegal,SEN,2019,0.18563630273816958,0.17445315908281675,0.17445315908281675,0.011183143655352841,0.05433621365641829,0.05143762413580653,0.02549374277456142,0.025332632534676634,0.12011694542639846,0.08911411952450315,0.06277172790117273,0.02634239162333043,0.027625582751408386,,0.0,0.002898589520611762,0.003377243150486915
Senegal,SEN,2020,0.1793394024429926,0.16865607574654667,0.16865607574654667,0.010683326696445923,0.05407078085262445,0.05107625371584613,0.02523378488498148,0.025202174717961705,0.11458529489392222,0.08747926465404726,0.057367976789967114,0.030111287864080148,0.02406478064090434,,0.0,0.0029945271367783233,0.0030412495989706246
Australia,AUS,2009,,,0.25625744018456653,,0.15778916716812263,0.1434486797298824,0.09683517892178901,0.046613500808093386,,0.06476121090276674,0.036004153054347066,0.028757057848419663,0.004428182669836022,,,0.014340487438240224,0.02927887944384116
Australia,AUS,2010,,,0.2534303434508288,,0.1584247597453661,0.14439067019995455,0.09864663968228646,0.04574403051766809,,0.0617257108812372,0.0339864833385335,0.0277392275427037,0.00412177701602827,,,0.014034089545411549,0.029158095808197247
Australia,AUS,2011,,,0.25993592351369627,,0.16779396288525583,0.15396763363828794,0.10337868749908298,0.050588946139204956,,0.05886326926129307,0.0324670647660688,0.02639620449522427,0.00474638169258492,,,0.013826329246967903,0.028532309674562405
Australia,AUS,2012,,,0.2701035665397606,,0.1715633659157968,0.1573884646753546,0.10681849395986609,0.05056997071548851,,0.05897844636521216,0.03265948797994151,0.026318958385270652,0.005325107546864005,,,0.014174901240442177,0.03423664671188766
Australia,AUS,2013,,,0.27116037859783676,,0.17015820785346536,0.15541466222091546,0.10744433948690359,0.047970322734011875,,0.059747392917242716,0.034225819972099364,0.025521572945143352,0.005811589397759191,,,0.014743545632549905,0.035443188429369485
Australia,AUS,2014,,,0.27369489493112464,,0.17458502118366295,0.1591837011056869,0.11389688914385748,0.0452868119618294,,0.05948783732128689,0.03503691060143383,0.02445092671985306,0.006706877565629961,,,0.01540132007797607,0.03291515886054484
Australia,AUS,2015,,,0.27962069326807626,,0.17566119151160284,0.15964037155103167,0.11674797707492078,0.04289239447611088,,0.05971828984400686,0.03653850090984962,0.023179788934157237,0.008464431563773172,,,0.016020819960571177,0.035776780348693395
Australia,AUS,2016,,,0.276458117277633,,0.175691912178709,0.15941976392967447,0.11385457355778744,0.04556519037188703,,0.05786881239627201,0.035738282527994866,0.022130529868277137,0.008056125246438164,,,0.01627214824903452,0.03484126745621381
Australia,AUS,2017,,,0.28618180638744134,,0.1852698553419681,0.16891582156680432,0.11609888208964905,0.052816939477155274,,0.05751670378619154,0.035515817242199495,0.022000886543992043,0.008481631240945359,,,0.016354033775163795,0.03491361601833633
Australia,AUS,2018,,,0.2879661840363262,,0.19068212234098825,0.1739210146021612,0.11906456605893657,0.054856448543224634,,0.056113095109708785,0.03431975210117263,0.021793343008536158,0.008187974195350767,,,0.016761107738827042,0.032982992390278375
Vietnam,VNM,2004,0.26691895927203285,0.2174996190446899,0.2174996190446899,0.045397290953394835,0.08538431750283444,0.08459025285646582,0.0049223620068026734,0.07966789084966315,0.12665750509920914,0.09644110850306231,0.05426201616928116,0.017856668535328187,0.03021639659614683,,,0.0007940646463686222,0.005457796442646304
Vietnam,VNM,2005,0.272025747994247,0.22845863555172657,0.22845863555172657,0.039052157323962625,0.09619511660357169,0.0954241543545068,0.0050452150889347255,0.09037893926557207,0.12689299830435968,0.0986998502164533,0.05466801555270367,0.01872711392009876,0.028193148087906378,,,0.0007709622490648955,0.005370520643795184
Vietnam,VNM,2006,0.2632641430341053,0.22262508654674937,0.22262508654674937,0.03320003956422829,0.09955113441004554,0.09888702057810873,0.004878646149788285,0.09400837442832045,0.11797958674221548,0.09322368390065609,0.051949715749859876,0.01619778346121057,0.024755902841559395,,,0.0006641138319368103,0.0050943653944883266
Vietnam,VNM,2007,0.2630083760504151,0.21543260219014107,0.21543260219014107,0.042753709789062774,0.09046655795901246,0.08980564964319773,0.005947372769133656,0.08385827687406408,0.11787002243398736,0.08714340026099461,0.05600235488691169,0.013928001097236136,0.03072662217299275,,,0.0006609083158147179,0.007096021797141251
Vietnam,VNM,2008,0.26642108800053466,0.2246339370080202,0.2246339370080202,0.03596244416158688,0.09354802180877164,0.09292984671856697,0.008007192860108647,0.08492265385845832,0.12403723406559339,0.08661629271920929,0.05662335315742673,0.013689577097695797,0.03742094134638411,,,0.0006181750902046785,0.007048681133655147
Vietnam,VNM,2009,0.2513811742426964,0.2062853861124761,0.2062853861124761,0.04072467220776177,0.0706144159491562,0.06991242844011189,0.007914218231886925,0.06199821020822497,0.11899130475157105,0.07643206833710214,0.060000033164764204,0.016432035172337933,0.042559236414468904,,,0.0007019875090443075,0.006126084695069339
Vietnam,VNM,2010,0.2726946262630756,0.22385329136520613,0.22385329136520613,0.04334154529462034,0.08174080603273291,0.08106790717332428,0.012177059524670178,0.06889084764865411,0.13565349045429015,0.10132823376098558,0.07184168525016822,0.017291183541969055,0.034325256693304565,,,0.0006728988594086275,0.006458994878183062
Vietnam,VNM,2011,0.25965293465905004,0.22261608414751716,0.22261608414751716,0.03268306545606285,0.08496337971423226,0.08436587190813992,0.013838367123760738,0.07052750478437918,0.1314733010057988,0.10218930313538713,0.06909075211879649,0.01938464969710923,0.029283997870411672,,,0.0005975078060923493,0.006179403427486079
Vietnam,VNM,2012,0.22643690999528876,0.1949581243592892,0.1949581243592892,0.028315249587187355,0.08544289658746683,0.08505404078795373,0.013853064889310132,0.07120097589864359,0.10538916330988386,0.08342706843091754,0.05363117427980793,0.017267558980828056,0.02196209487896632,,,0.0003888557995130983,0.004126064461938505
Vietnam,VNM,2013,0.23110698938861055,0.1911710137261171,0.1911710137261171,0.03683240789875294,0.07789888127597816,0.07747592112406962,0.012986773846331547,0.06448914727773807,0.1090068192559584,0.08717443088702778,0.05818101466912854,0.018421086404955888,0.02183238836893062,,,0.00042296015190853794,0.004265313194180559
Vietnam,VNM,2014,0.21035507646800697,0.17400509312681825,0.17400509312681825,0.03352509588974305,0.07090406556258025,0.07051908449674138,0.011820645549253198,0.05869843894748818,0.09921871190820589,0.07934673080986201,0.05295673584813665,0.01676699198751808,0.01987198109834387,,,0.00038498106583887277,0.003882315656032115
Vietnam,VNM,2015,0.23807532897576883,0.18039468029236355,0.18039468029236355,0.054855847867160905,0.06160231364638283,0.061235738261836425,0.013528468144193631,0.047707270117642794,0.11301492870502297,0.0893282440490529,0.060044427887204495,0.02234106440898842,0.023686684655970076,,,0.00036657538454640287,0.005777437940957752
Vietnam,VNM,2016,0.24593525754247478,0.17924824767535627,0.17924824767535627,0.06482636212273746,0.05667624529369163,0.056348000203432,0.014487867701682512,0.04186013250174949,0.11650812961816746,0.09515998394752699,0.060319810213041725,0.028825826448070538,0.021348145670640476,,,0.00032824509025962677,0.006063872763497191
Vietnam,VNM,2017,0.258416552220097,0.18290654667672132,0.18290654667672132,0.07399561523978845,0.05830188924235539,0.0579573010252748,0.015736195246680216,0.04222110577859458,0.11908864906436807,0.09983825328732164,0.061787723670214095,0.03149224676511569,0.01925039577704643,,,0.0003445882170805887,0.005516008369997853
Vietnam,VNM,2018,0.2570964777991479,0.1845542681018744,0.1845542681018744,0.07116210468133174,0.0627576999692689,0.06241452311735083,0.017026407364931773,0.04538811575241906,0.11594848815133926,0.10019104124883639,0.062076037431652464,0.031127150874000538,0.015757446902502876,,,0.00034317685191806614,0.005848079981266225
Vietnam,VNM,2019,0.24138081820030916,0.18388090267448556,0.18388090267448556,0.05683737296574589,0.06335381031539014,0.06306245722459597,0.01846572369192566,0.0445967335326703,0.11431078678916637,0.0976031197804069,0.0592727137809515,0.032492577866970726,0.016707667008759475,,,0.00029135309079416987,0.0062163055699290485
Afghanistan,AFG,2019,,,0.0836037995833139,,,,,,,,,,,,,,
Angola,AGO,2019,,,0.185306833235753,,,,,,,,,,,,,,
Burkina Faso,BFA,2019,,,0.154446017660766,,,,,,,,,,,,,,
Burundi,BDI,2019,,,0.162534580510252,,,,,,,,,,,,,,
Cape Verde,CPV,2019,,,0.215230186068902,,,,,,,,,,,,,,
Cameroon,CMR,2019,,,0.123645382825531,,,,,,,,,,,,,,
Central African Republic,CAF,2019,,,0.0780257501333202,,,,,,,,,,,,,,
Chad,TCD,2019,,,0.0930383756242258,,,,,,,,,,,,,,
Comoros,COM,2019,,,0.067989654439214,,,,,,,,,,,,,,
"Congo, Rep.",COG,2019,,,0.261595417555738,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,2019,,,0.122610371127721,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,2019,,,0.0749756090523647,,,,,,,,,,,,,,
Djibouti,DJI,2019,,,0.120093795777979,,,,,,,,,,,,,,
Dominica,DMA,2019,,,0.236865679569103,,,,,,,,,,,,,,
Ethiopia,ETH,2019,,,0.0997706458087364,,,,,,,,,,,,,,
"Gambia, The",GMB,2019,,,0.109148841381018,,,,,,,,,,,,,,
Grenada,GRD,2019,,,0.220905173397804,,,,,,,,,,,,,,
Guinea,GIN,2019,,,0.125233632675778,,,,,,,,,,,,,,
Guinea-Bissau,GNB,2019,,,0.0937958433967884,,,,,,,,,,,,,,
Kenya,KEN,2019,,,0.142935965425471,,,,,,,,,,,,,,
Lesotho,LSO,2019,,,0.40576525859371,,,,,,,,,,,,,,
Madagascar,MDG,2019,,,0.102549103437603,,,,,,,,,,,,,,
Malawi,MWI,2019,,,0.180885601371159,,,,,,,,,,,,,,
Maldives,MDV,2019,,,0.189501022642678,,,,,,,,,,,,,,
Mali,MLI,2019,,,0.147500676382665,,,,,,,,,,,,,,
Mauritania,MRT,2019,,,0.134134844213702,,,,,,,,,,,,,,
Mozambique,MOZ,2019,,,0.250501052903099,,,,,,,,,,,,,,
Myanmar,MMR,2019,,,0.0656642170803762,,,,,,,,,,,,,,
Nepal,NPL,2019,,,0.189455560350546,,,,,,,,,,,,,,
Niger,NER,2019,,,0.103586700622261,,,,,,,,,,,,,,
Papua New Guinea,PNG,2019,,,0.129809541724847,,,,,,,,,,,,,,
Sao Tome and Principe,STP,2019,,,0.119106341158397,,,,,,,,,,,,,,
Sierra Leone,SLE,2019,,,0.122850303454902,,,,,,,,,,,,,,
St. Lucia,LCA,2019,,,0.190863075990901,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,2019,,,0.248996700913104,,,,,,,,,,,,,,
Tajikistan,TJK,2019,,,0.182010963999989,,,,,,,,,,,,,,
Tanzania,TZA,2019,,,0.117444162719206,,,,,,,,,,,,,,
Togo,TGO,2019,,,0.130341891658109,,,,,,,,,,,,,,
Tonga,TON,2019,,,0.208795651278864,,,,,,,,,,,,,,
Uganda,UGA,2019,,,0.119367300909306,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,2019,,,0.0268120734643449,,,,,,,,,,,,,,
