Country_Code,year,GDP_PC_Constant_USD
FRA,2013,41282.990800374864
FRA,2014,41480.76960751242
FRA,2015,41793.54471188594
FRA,2016,42140.036879657615
FRA,2017,43015.21064231158
FRA,2018,43720.026342930534
FRA,2019,44317.39230511729
FRO,2010,48530.23384928131
FSM,1986,2321.3693018635963
FSM,1987,2295.0710549804744
FSM,1988,2302.2437669619044
FSM,1989,2330.9162989472898
FSM,1990,2361.7674245221783
FSM,1991,2473.7607733290897
FSM,1992,2506.448150043781
FSM,1993,2644.6019802726673
FSM,1994,2577.995631373885
FSM,1995,2720.3689896149112
FSM,1996,2614.5394691328343
FSM,1997,2452.4739806261946
FSM,1998,2528.722595291205
FSM,1999,2573.634156934411
FSM,2000,2707.5619990580735
FSM,2001,2772.1619169935348
FSM,2002,2791.049651386184
FSM,2003,2838.349139286644
FSM,2004,2758.044438259153
FSM,2005,2827.513115919789
FSM,2006,2845.544863685062
FSM,2007,2818.0874752197356
FSM,2008,2774.1455815990753
FSM,2009,2819.9389259474274
FSM,2010,2885.4456763611274
FSM,2011,2961.9370189297993
FSM,2012,2877.2722875375866
FSM,2013,2734.2431726480418
FSM,2014,2633.409182189318
FSM,2015,2718.461551398854
FSM,2016,2710.0816273347878
FSM,2017,2751.712395750099
FSM,2018,2728.6244681816884
GAB,1960,4366.391518711981
GAB,1961,4962.910601029197
GAB,1962,5275.369708479878
GAB,1963,5528.719849272735
GAB,1964,5699.964768320715
GAB,1965,6076.947247011822
GAB,1966,6236.872698246611
GAB,1967,6365.231531687023
GAB,1968,6389.906859933387
GAB,1969,6764.358758627032
GAB,1970,7205.906885771698
GAB,1971,7795.673932917501
GAB,1972,8522.09701773772
GAB,1973,9220.784665146162
GAB,1974,12622.254983251756
GAB,1975,14747.231757034757
GAB,1976,19581.67116320745
GAB,1977,16741.916868677865
GAB,1978,12424.919161669324
GAB,1979,12189.533248796464
GAB,1980,12198.846012407113
GAB,1981,12504.200530675796
GAB,1982,11811.805195523639
GAB,1983,12153.95983609186
GAB,1984,12724.893569784652
GAB,1985,12097.563999658372
GAB,1986,11676.498315327093
GAB,1987,9410.744667532574
GAB,1988,10328.801062872244
GAB,1989,10905.057448415551
GAB,1990,11159.84814051621
GAB,1991,11522.881043643432
GAB,1992,10868.351187590288
GAB,1993,10998.887451596085
GAB,1994,11110.78618114018
GAB,1995,11365.735133449918
GAB,1996,11481.345819399736
GAB,1997,11838.283240811797
GAB,1998,11949.282468711033
GAB,1999,10618.79269412832
GAB,2000,10170.256448070657
GAB,2001,10142.65092327988
GAB,2002,9879.346230489233
GAB,2003,9859.2477036437
GAB,2004,9679.071757318245
GAB,2005,9675.426533048283
GAB,2006,9143.470971358418
GAB,2007,9413.582835931818
GAB,2008,8826.626396463
GAB,2009,8554.283109763055
GAB,2010,8849.355299715067
GAB,2011,9136.614568813107
GAB,2012,9258.881972662079
GAB,2013,9418.219737012018
GAB,2014,9476.599738050689
GAB,2015,9521.288558578002
GAB,2016,9429.046318403836
GAB,2017,9212.31972704417
GAB,2018,9051.281301443785
GAB,2019,9177.51660272077
GBR,1960,13934.02983414203
GBR,1961,14198.673565309111
GBR,1962,14233.959947478688
GBR,1963,14816.480308723716
GBR,1964,15535.026994381615
GBR,1965,15766.195727890741
GBR,1966,15926.169854623686
GBR,1967,16282.02616381608
GBR,1968,17084.579745124713
GBR,1969,17341.048840450152
GBR,1970,17923.405089683587
GBR,1971,18474.247678052892
GBR,1972,19207.408565732418
GBR,1973,20420.979691334007
GBR,1974,19901.08661869707
GBR,1975,19609.26996009478
GBR,1976,20184.917579399193
GBR,1977,20687.81225055857
GBR,1978,21556.426318438957
GBR,1979,22344.521890585973
GBR,1980,21864.475029677094
GBR,1981,21684.686673664524
GBR,1982,22125.20145256446
GBR,1983,23051.433491993346
GBR,1984,23537.214814544048
GBR,1985,24457.830429596026
GBR,1986,25169.97158461342
GBR,1987,26470.97525610091
GBR,1988,27926.31787831722
GBR,1989,28571.6751709903
GBR,1990,28695.41371221253
GBR,1991,28291.24289413043
GBR,1992,28328.00256376086
GBR,1993,28963.79925295494
GBR,1994,30001.273121415972
GBR,1995,30679.536990418437
GBR,1996,31363.96514368749
GBR,1997,32489.207795033402
GBR,1998,33575.40831002279
GBR,1999,34610.86106317588
GBR,2000,35672.911982961596
GBR,2001,36592.809076411795
GBR,2002,37285.177887810976
GBR,2003,38331.60570093951
GBR,2004,39018.95105299604
GBR,2005,39984.16744137825
GBR,2006,40798.06530661107
GBR,2007,41465.545497292114
GBR,2008,41024.81107524377
GBR,2009,38986.144519723406
GBR,2010,39435.83990185051
GBR,2011,39731.48929767113
GBR,2012,40039.7002492073
GBR,2013,40623.35968825986
GBR,2014,41376.75425729868
GBR,2015,42017.141082062895
GBR,2016,42499.776437918656
GBR,2017,43010.70634555487
GBR,2018,43324.04977764223
GBR,2019,43711.708459261994
GEO,1965,1872.967278935467
GEO,1966,1991.2074888117556
GEO,1967,2095.007334722394
GEO,1968,2168.6079799652603
GEO,1969,2251.0659707052264
GEO,1970,2498.1223592459633
GEO,1971,2533.3469630972604
GEO,1972,2579.009653000441
GEO,1973,2722.1208720683426
GEO,1974,2936.285121792328
GEO,1975,3129.8268181434073
GEO,1976,3296.811114833953
GEO,1977,3500.2373486324336
GEO,1978,3738.385048155426
GEO,1979,3984.4708210223484
GEO,1980,4131.83635304446
GEO,1981,4313.944150153455
GEO,1982,4363.190900923385
GEO,1983,4511.070517335388
GEO,1984,4715.446208506076
GEO,1985,4905.274744862826
GEO,1986,4464.42568711023
GEO,1987,4484.485443755089
GEO,1988,4686.985977570624
GEO,1989,4338.3376300343625
GEO,1990,3697.775253750436
GEO,1991,2897.092454580143
GEO,1992,1583.9822091204253
GEO,1993,1111.30148359774
GEO,1994,1011.1732988953386
GEO,1995,1077.1904476981179
