year,Country_Code,Total_Revenue,Tax_Revenue,Income_Taxes,PIT,CIT,Tax_on_Goods_and_Services,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Social_Contributions,Property_Tax,Other_Taxes,Direct_Taxes,Indirect_Taxes,Total_Non_Tax_Revenue,GDP_Current_LCU,GDP_Constant_USD,Tax_Revenue_real_USD,Tax_Revenue_current_LCU,gr_Tax_Revenue,outlier
2005,MNG,0.20904324475904792,0.1689907856683577,0.05056127261448517,0.01642887289434252,0.03416072536306393,0.07364667159532853,0.051269413687517175,0.022377257907811362,0.016145616465129718,0.02707931463274388,,0.028637224993414288,0.07764058724722904,0.11842951305387255,0.04005245909069021,3041405736500.0,5252765131.745423,887668906.5450135,513969544947.38513,-0.005428800007151069,0
2006,MNG,0.2673757706561648,0.21844931511560917,0.10249619508671763,0.01655244761257814,0.047787131224365204,0.07338968331083347,0.05187150141448189,0.021518181896351584,0.015499110037232259,0.024054790751266156,,0.027064326680825816,0.12655098583798377,0.11595312002889155,0.04892645554055565,4027558620100.0,5702204050.405277,1245642569.4604855,879817422148.8129,0.40327385613716893,0
2007,MNG,0.2945333849874878,0.23424112019712343,0.11304581514094952,0.01308804590239459,0.03823454476286206,0.06927938964334203,0.04593031575347008,0.023349073889871945,0.01788699606660594,0.027641952945857372,,0.03402891934622593,0.1406877680868069,0.12119530505617389,0.060292264790364404,4956647181200.0,6286566854.316839,1472572462.149283,1161050588146.2021,0.18217897995175747,0
2008,MNG,0.25242310420004727,0.21827637834572247,0.09915683853852013,,,0.0717081242940821,0.04833075043996743,0.02337737385411468,0.018518032097922302,0.030075385464001472,,0.02876204985421975,0.1292322240025216,0.11898820624622417,0.034146725854324815,6555569353600.0,6846094435.546968,1494340699.2039955,1430925936498.0168,0.014782455610327538,0
2009,MNG,0.22315074753541816,0.1771887445322191,0.06789841352745316,,,0.06437291897891231,0.042567082326826405,0.02180583665208592,0.015146569171508781,0.0344715022523993,,0.029770842854344847,0.10236991577985245,0.10929033100476594,0.04596200300319906,6590637139700.0,6759244954.070705,1197662127.3975253,1167786720450.8586,-0.1985347598205046,0
2010,MNG,0.281553288597758,0.24158030623404284,0.09993245590928798,,,0.08691561293443713,0.05934450458613102,0.02757110834830612,0.01978150152871034,0.0339257875958711,,0.034950735861607386,0.13385824350515907,0.14164785032475485,0.039972982363715194,9756588400000.0,7189481824.072877,1736837220.7236104,2356999613471.5103,0.45018964947793094,0
2011,MNG,0.30219162942090944,0.2608215118538671,0.06975988631947143,,,0.10687912942090945,0.08456203847648659,0.022317090944422854,0.025581155266226195,0.03590470753983677,,0.05860134084726001,0.1056645938593082,0.19106162553439565,0.04137011756704236,13173763400000.0,8432599135.693064,2199403255.4290776,3436000886793.1406,0.2663266477630819,0
2012,MNG,0.2556862782696025,0.21673711471787024,0.05363000212123137,,,0.09641416023805728,0.07771856173322579,0.018695598504831493,0.019594425356025316,0.040387286513642394,,0.04709852700255626,0.09401728863487377,0.16310711259663888,0.03894916355173228,16688419553500.0,9471480157.755247,2052821281.4994307,3616999903226.8784,-0.06664624759821525,0
2013,MNG,0.266346890461334,0.22139074799458835,0.058255233335678495,,,0.09825681253752756,0.07483998194870066,0.023416830588826897,0.019870406357111466,0.045581982037048344,,0.04500829576427085,0.10383721537272685,0.16313551465890988,0.04490398916922039,19174242644900.0,10574804943.273869,2341163976.2882724,4244999921384.145,0.14046166482560496,0
2014,MNG,0.23561377049788065,0.19251314186756374,0.049534229772420585,0.021595304532935403,0.027938925239485178,0.08215213766070843,0.061726578789973695,0.020425558870734738,0.015071722955277833,0.04130101991923896,,0.04485524712361791,0.09083524969165954,0.14207910773960417,0.04391045255030199,22227054279400.0,11408652157.281872,2196315471.272492,4279000053788.172,-0.06187029464097005,0
2015,MNG,0.20453219146632087,0.17723243539309705,0.05058230120529287,0.020820383587490318,0.029718721801230995,0.07092753081049606,0.045355607400134515,0.025571923410361554,0.013865857119469693,0.0439733412698447,,0.04189994207440998,0.09455564247513756,0.12669333000437574,0.027256560256652265,23150385603300.0,11680159346.403803,2070103086.7425907,4102999220762.1514,-0.057465508111535946,0
2016,MNG,0.1973447627623589,0.160423541538671,0.043562029113468854,0.021718365425698757,0.021843663687770097,0.07396774070944712,0.047655105674465924,0.026312635034981186,0.013699276653133061,0.04636035696639542,,0.02915272897526487,0.08992238607986427,0.11681974633784505,0.03362170032247596,23942866424300.0,11816629563.877668,1895665563.6878169,3840999426373.542,-0.0842651383749492,0
2017,MNG,0.2380875766964314,0.20418780873227174,0.057755160235234984,0.03450960505981121,0.02324555517542377,0.0767318557410979,0.05807801516822698,0.018653840572870926,0.01836685841021137,0.04738792960915864,,0.05133393434572749,0.10514308984439362,0.14643264849703677,0.03163978343321568,27876297223800.0,12447287566.129883,2541584372.7885127,5692000045697.232,0.34073457970304055,0
2018,MNG,0.2633038805697533,0.2288405064665878,0.06451469583681206,0.03939993619493496,0.025114759641877104,0.09101786356699933,0.06775431470953577,0.023263548857463557,0.021042095916167302,0.050538054414489796,,0.05223499763353555,0.11505275025130186,0.16429495711670217,0.03171741143961875,32411224148800.0,13349296395.778473,3054859748.182541,7417000949413.493,0.20195094874260877,0
2019,MNG,0.26718818567392794,0.23486595259119697,0.0694190366955251,0.04562665433504181,0.023792382360483293,0.08977802002315398,0.0666293999813309,0.023148620041823092,0.02119050965589831,0.053003097569689954,,0.05445156278667541,0.12242213426521506,0.1654200924657277,0.030283652406973664,37280841398100.0,14037996021.853642,3297047308.144089,8756000328366.088,0.07927943667647441,0
2020,MNG,0.24064796914381112,0.2073133280391141,0.052734752851505265,0.03503925343391448,0.01769549941759079,0.08817986636380486,0.06347651625943117,0.024703350104373682,0.019156595699777183,0.040017803728771825,,0.047242113124026784,0.09275255658027709,0.1545785751876088,0.03230646223945474,36958550059000.0,13288991441.96715,2754985042.1175156,7662000012231.486,-0.16440839798919993,0
