Country,gdp_2013Q1,gdp_2013Q2,gdp_2013Q3,gdp_2013Q4,gdp_2014Q1,gdp_2014Q2,gdp_2014Q3,gdp_2014Q4,gdp_2015Q1,gdp_2015Q2,gdp_2015Q3,gdp_2015Q4,gdp_2016Q1,gdp_2016Q2,gdp_2016Q3,gdp_2016Q4,gdp_2017Q1,gdp_2017Q2,gdp_2017Q3,gdp_2017Q4,gdp_2018Q1,gdp_2018Q2,gdp_2018Q3,gdp_2018Q4,gdp_2019Q1,gdp_2019Q2,gdp_2019Q3,gdp_2019Q4,gdp_2020Q1,gdp_2020Q2,gdp_2020Q3,gdp_2020Q4,WB_Country
France,521506.0,531010.0,520471.0,544202.0,531249.0,536560.0,528508.0,553448.0,543050.0,549149.0,540348.0,565885.0,554013.0,561664.0,545506.0,572946.0,565860.0,573594.0,563607.0,594183.0,582580.0,587982.0,579295.0,610829.0,597720.0,606543.0,597695.0,623752.0,579098.0,513877.0,578096.0,,
Georgia,5914.463107163279,6900.920241742039,7510.7149789872,8266.95050996682,6561.22477045002,7545.64526128203,8206.34545835821,8810.87965624857,7048.02110334823,8430.94384464083,8998.89893140247,9457.15170352025,7581.86162355615,8787.31604244216,9464.09417581756,10002.7462468722,8662.41547734756,9868.13340349095,10940.5462815053,11290.568294430599,9551.45356638567,10935.751322150802,11850.937157641702,12261.200734345899,10199.896022790399,12024.928514585199,13446.5226119841,14330.815561568501,11063.757817573602,11209.9771573163,,,
Germany,682360.0,692930.0,714670.0,721390.0,716700.0,717360.0,740720.0,752650.0,737210.0,741980.0,765670.0,781320.0,762950.0,779080.0,788980.0,803730.0,796940.0,799040.0,821890.0,841990.0,821150.0,831070.0,839800.0,864390.0,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,84850.6,84312.0,85551.8,94766.0,92487.0,88284.8,92223.9,,
Greece,42412.295647,45463.075112,46466.748048,45274.329834,41230.761074,44170.218558,46620.149712,45328.29875,40992.288569,44067.11903,45484.946672,45565.865811,39974.982419,43743.991006,45767.156732,44750.796624,40517.050396,44299.665995,47516.744619,44818.415609,41137.091613,44887.907104,48323.093709,45379.198444,41551.436237,46069.794068,50051.024203,45741.228197,40555.803207,38024.068374,44542.478113,,
Guatemala,103821.532392042,102184.711735512,102184.23336079,108192.742811534,109544.80446114599,109442.417365121,111307.529983459,117031.574410374,117960.017289114,116185.698104737,118693.625925048,123183.47998184599,123931.464651126,122825.815196887,124453.541508266,130790.88288903101,131606.843593869,127546.53238610299,130150.27342832899,136896.756804406,136282.1908225,134312.89393391,136156.43757521402,143038.455164893,144267.70289948,144372.73654132299,147663.085193686,154113.066912077,150638.860967307,132936.135266983,,,
Hungary,6672025.0,7512715.0,7816910.0,8289270.0,7222366.0,8090368.0,8480345.0,8949099.0,7665512.0,8549662.0,8954158.0,9767981.0,7928661.0,9028303.0,9279148.0,9931341.0,8536710.0,9687931.0,10064497.0,10944292.0,9381532.0,10662950.0,11184587.0,12117972.0,10367465.0,11749724.0,12217394.0,13179329.0,10984886.0,10831111.0,12176396.0,,
Iceland,476002.878797,486182.386982,508661.95758,499298.501835,470943.354533,504708.629715,561276.855547,549430.767901,541080.583241,580058.803725,604416.248635,585292.151163,566563.936445,618723.526998,676157.836695,650609.519053,598091.08317,649831.256926,712182.203264,682318.232302,657453.531296,700663.160366,747164.683311,730608.239224,678975.85427,756382.438797,792160.163883,791858.325684,682947.168155,694482.021617,730099.12759,,
India,,25620226.3042621,27695570.299765103,28893893.7407895,30517958.4409196,29104480.0,30565790.0,31753319.062309,32996279.7513082,32416910.0,33540934.115466103,34749284.5615229,36933237.8053075,35984915.6324689,37153459.9568967,38651620.0,41130150.0,40074534.6506954,41721220.0,43261045.612027794,45926240.817992896,45512235.583053604,46478309.640907,48174125.0850052,49547698.6623874,49182284.424741395,49206939.280361794,51732336.1453183,53276928.928532295,38081930.0,47220680.0,,
Indonesia,2235288500.0,2342589500.0,2491158500.0,2477097500.0,2506300200.0,2618947300.0,2746762400.0,2697695400.0,2728180700.0,2867948400.0,2990645000.0,2939558700.0,2929269000.0,3073536700.0,3205019000.0,3193903800.0,3228172200.0,3366787300.0,3504138500.0,3490727700.0,3511408700.0,3685610800.0,3842159900.0,3799132100.0,3783859300.0,3963861700.0,4067378000.0,4018844400.0,3922613800.0,,,,
