,Country_Code,year,Tax_Revenue_real_USD,Tax_Revenue_real_USD_lag
2371,FSM,2011,36631993.41631132,35473051.89507689
2372,FSM,2012,34937673.318377584,36631993.41631132
2373,FSM,2013,34783088.8765838,34937673.318377584
2374,FSM,2014,53477098.37981112,34783088.8765838
2375,FSM,2015,36537123.07539071,53477098.37981112
2376,FSM,2016,38414648.80725994,36537123.07539071
2377,FSM,2017,53759075.364001594,38414648.80725994
2378,FSM,2018,106884621.42588347,53759075.364001594
2379,GAB,1980,1965790941.952099,
2380,GAB,1981,2513254310.0565677,1965790941.952099
2381,GAB,1982,2409679882.8288584,2513254310.0565677
2382,GAB,1983,2389696658.12773,2409679882.8288584
2383,GAB,1984,2796423546.911382,2389696658.12773
2384,GAB,1985,2834942023.7654667,2796423546.911382
2385,GAB,1986,2470263994.501366,2834942023.7654667
2386,GAB,1987,1437986922.0742934,2470263994.501366
2387,GAB,1988,1512378552.2567525,1437986922.0742934
2388,GAB,1989,1307460818.485581,1512378552.2567525
2389,GAB,1990,1320096181.6944106,1307460818.485581
2390,GAB,1991,1938248846.2504683,1320096181.6944106
2391,GAB,1992,1658995720.2424994,1938248846.2504683
2392,GAB,1993,1659153625.313122,1658995720.2424994
2393,GAB,1994,1714754258.985527,1659153625.313122
2394,GAB,1995,2541235350.8247714,1714754258.985527
2395,GAB,1996,2618796924.4156137,2541235350.8247714
2396,GAB,1997,,2618796924.4156137
2397,GAB,1998,,
2398,GAB,1999,,
2399,GAB,2000,,
2400,GAB,2001,,
2401,GAB,2002,,
2402,GAB,2003,,
2403,GAB,2004,,
2404,GAB,2005,,
2405,GAB,2006,,
2406,GAB,2007,,
2407,GAB,2008,,
2408,GAB,2009,,
2409,GAB,2010,,
2410,GAB,2011,,
2411,GAB,2012,,
2412,GAB,2013,,
2413,GAB,2014,,
2414,GAB,2015,,
2415,GAB,2016,,
2416,GAB,2017,,
2417,GAB,2018,,
2418,GBR,1980,318288715695.28436,
2419,GBR,1981,326233212430.5951,318288715695.28436
2420,GBR,1982,347968481712.7616,326233212430.5951
2421,GBR,1983,341884345094.0234,347968481712.7616
2422,GBR,1984,350460437038.3635,341884345094.0234
2423,GBR,1985,364995738973.7849,350460437038.3635
2424,GBR,1986,377886630901.9817,364995738973.7849
2425,GBR,1987,382113677663.73755,377886630901.9817
2426,GBR,1988,401824480046.4295,382113677663.73755
2427,GBR,1989,407979407575.66296,401824480046.4295
2428,GBR,1990,410852022167.4877,407979407575.66296
2429,GBR,1991,388184429144.1151,410852022167.4877
2430,GBR,1992,380070674930.21735,388184429144.1151
2431,GBR,1993,373470327177.2741,380070674930.21735
2432,GBR,1994,398389873123.1019,373470327177.2741
2433,GBR,1995,428798642911.11444,398389873123.1019
2434,GBR,1996,438292018003.1263,428798642911.11444
2435,GBR,1997,465918628694.9446,438292018003.1263
2436,GBR,1998,509969135855.0199,465918628694.9446
2437,GBR,1999,538257573616.1908,509969135855.0199
2438,GBR,2000,571802111893.076,538257573616.1908
2439,GBR,2001,579426810707.9082,571802111893.076
2440,GBR,2002,576171074853.4504,579426810707.9082
2441,GBR,2003,581138098092.5323,576171074853.4504
2442,GBR,2004,610864118343.2715,581138098092.5323
2443,GBR,2005,638402121680.31,610864118343.2715
2444,GBR,2006,659596771629.5961,638402121680.31
2445,GBR,2007,679522147820.6653,659596771629.5961
2446,GBR,2008,655932534976.0526,679522147820.6653
2447,GBR,2009,604139278900.1179,655932534976.0526
2448,GBR,2010,643241727502.8627,604139278900.1179
2449,GBR,2011,671507624689.3568,643241727502.8627
2450,GBR,2012,663136719395.803,671507624689.3568
2451,GBR,2013,674843454505.3439,663136719395.803
2452,GBR,2014,687549072822.8094,674843454505.3439
2453,GBR,2015,710077335931.0245,687549072822.8094
2454,GBR,2016,733740201835.7329,710077335931.0245
2455,GBR,2017,757207092532.6317,733740201835.7329
2456,GBR,2018,774853989020.8235,757207092532.6317
2457,GEO,1980,,
2458,GEO,1981,,
2459,GEO,1982,,
2460,GEO,1983,,
2461,GEO,1984,,
2462,GEO,1985,,
2463,GEO,1986,,
2464,GEO,1987,,
2465,GEO,1988,,
2466,GEO,1989,,
2467,GEO,1990,,
2468,GEO,1991,,
2469,GEO,1992,,
2470,GEO,1993,,
2471,GEO,1994,,
2472,GEO,1995,257661899.0217229,
2473,GEO,1996,420176424.83414936,257661899.0217229
2474,GEO,1997,627606689.250217,420176424.83414936
2475,GEO,1998,637152859.3904,627606689.250217
2476,GEO,1999,716473139.9256462,637152859.3904
2477,GEO,2000,745039480.391736,716473139.9256462
2478,GEO,2001,796056524.1245633,745039480.391736
2479,GEO,2002,1016422884.8051138,796056524.1245633
2480,GEO,2003,1172765002.629322,1016422884.8051138
2481,GEO,2004,1288991212.7416735,1172765002.629322
2482,GEO,2005,1547374273.81219,1288991212.7416735
2483,GEO,2006,1904509862.5630717,1547374273.81219
2484,GEO,2007,2411977458.028433,1904509862.5630717
2485,GEO,2008,2850797965.4122744,2411977458.028433
2486,GEO,2009,2690020123.09389,2850797965.4122744
2487,GEO,2010,2748632612.0775027,2690020123.09389
2488,GEO,2011,3166187902.2019525,2748632612.0775027
2489,GEO,2012,3406409770.583599,3166187902.2019525
