,Country_Code,GDP_Constant_USD_value_crisis,GDP_Constant_USD_value_pre_crisis,GDP_Constant_USD_crisis_year,GDP_Constant_USD_turn_around_year,GDP_Constant_USD_recovery_year_1_2,GDP_Constant_USD_recovery_year_3_4,GDP_Constant_USD_recovery_year,GDP_Constant_USD_recovery_year_1_2_str,GDP_Constant_USD_recovery_year_3_4_str,GDP_Constant_USD_recovery_year_str,GDP_Constant_USD_crisis_shock,GDP_Constant_USD_recovery_time_1_2,GDP_Constant_USD_recovery_time_3_4,GDP_Constant_USD_recovery_time,GDP_growth_rate_value_crisis,GDP_growth_rate_value_pre_crisis,GDP_growth_rate_crisis_year,GDP_growth_rate_turn_around_year,GDP_growth_rate_recovery_year_1_2,GDP_growth_rate_recovery_year_3_4,GDP_growth_rate_recovery_year,GDP_growth_rate_recovery_year_1_2_str,GDP_growth_rate_recovery_year_3_4_str,GDP_growth_rate_recovery_year_str,GDP_growth_rate_crisis_shock,GDP_growth_rate_recovery_time_1_2,GDP_growth_rate_recovery_time_3_4,GDP_growth_rate_recovery_time,revenue_deficit_value_crisis,revenue_deficit_value_pre_crisis,revenue_deficit_crisis_year,revenue_deficit_turn_around_year,revenue_deficit_recovery_year_1_2,revenue_deficit_recovery_year_3_4,revenue_deficit_recovery_year,revenue_deficit_recovery_year_1_2_str,revenue_deficit_recovery_year_3_4_str,revenue_deficit_recovery_year_str,revenue_deficit_crisis_shock,revenue_deficit_recovery_time_1_2,revenue_deficit_recovery_time_3_4,revenue_deficit_recovery_time,neg_govt_expenditure_value_crisis,neg_govt_expenditure_value_pre_crisis,neg_govt_expenditure_crisis_year,neg_govt_expenditure_turn_around_year,neg_govt_expenditure_recovery_year_1_2,neg_govt_expenditure_recovery_year_3_4,neg_govt_expenditure_recovery_year,neg_govt_expenditure_recovery_year_1_2_str,neg_govt_expenditure_recovery_year_3_4_str,neg_govt_expenditure_recovery_year_str,neg_govt_expenditure_crisis_shock,neg_govt_expenditure_recovery_time_1_2,neg_govt_expenditure_recovery_time_3_4,neg_govt_expenditure_recovery_time,Total_Revenue_excl_SC_value_crisis,Total_Revenue_excl_SC_value_pre_crisis,Total_Revenue_excl_SC_crisis_year,Total_Revenue_excl_SC_turn_around_year,Total_Revenue_excl_SC_recovery_year_1_2,Total_Revenue_excl_SC_recovery_year_3_4,Total_Revenue_excl_SC_recovery_year,Total_Revenue_excl_SC_recovery_year_1_2_str,Total_Revenue_excl_SC_recovery_year_3_4_str,Total_Revenue_excl_SC_recovery_year_str,Total_Revenue_excl_SC_crisis_shock,Total_Revenue_excl_SC_recovery_time_1_2,Total_Revenue_excl_SC_recovery_time_3_4,Total_Revenue_excl_SC_recovery_time,Tax_Revenue_value_crisis,Tax_Revenue_value_pre_crisis,Tax_Revenue_crisis_year,Tax_Revenue_turn_around_year,Tax_Revenue_recovery_year_1_2,Tax_Revenue_recovery_year_3_4,Tax_Revenue_recovery_year,Tax_Revenue_recovery_year_1_2_str,Tax_Revenue_recovery_year_3_4_str,Tax_Revenue_recovery_year_str,Tax_Revenue_crisis_shock,Tax_Revenue_recovery_time_1_2,Tax_Revenue_recovery_time_3_4,Tax_Revenue_recovery_time,Income_Taxes_value_crisis,Income_Taxes_value_pre_crisis,Income_Taxes_crisis_year,Income_Taxes_turn_around_year,Income_Taxes_recovery_year_1_2,Income_Taxes_recovery_year_3_4,Income_Taxes_recovery_year,Income_Taxes_recovery_year_1_2_str,Income_Taxes_recovery_year_3_4_str,Income_Taxes_recovery_year_str,Income_Taxes_crisis_shock,Income_Taxes_recovery_time_1_2,Income_Taxes_recovery_time_3_4,Income_Taxes_recovery_time,Value_Added_Tax_value_crisis,Value_Added_Tax_value_pre_crisis,Value_Added_Tax_crisis_year,Value_Added_Tax_turn_around_year,Value_Added_Tax_recovery_year_1_2,Value_Added_Tax_recovery_year_3_4,Value_Added_Tax_recovery_year,Value_Added_Tax_recovery_year_1_2_str,Value_Added_Tax_recovery_year_3_4_str,Value_Added_Tax_recovery_year_str,Value_Added_Tax_crisis_shock,Value_Added_Tax_recovery_time_1_2,Value_Added_Tax_recovery_time_3_4,Value_Added_Tax_recovery_time,Excise_Taxes_value_crisis,Excise_Taxes_value_pre_crisis,Excise_Taxes_crisis_year,Excise_Taxes_turn_around_year,Excise_Taxes_recovery_year_1_2,Excise_Taxes_recovery_year_3_4,Excise_Taxes_recovery_year,Excise_Taxes_recovery_year_1_2_str,Excise_Taxes_recovery_year_3_4_str,Excise_Taxes_recovery_year_str,Excise_Taxes_crisis_shock,Excise_Taxes_recovery_time_1_2,Excise_Taxes_recovery_time_3_4,Excise_Taxes_recovery_time,Trade_Taxes_value_crisis,Trade_Taxes_value_pre_crisis,Trade_Taxes_crisis_year,Trade_Taxes_turn_around_year,Trade_Taxes_recovery_year_1_2,Trade_Taxes_recovery_year_3_4,Trade_Taxes_recovery_year,Trade_Taxes_recovery_year_1_2_str,Trade_Taxes_recovery_year_3_4_str,Trade_Taxes_recovery_year_str,Trade_Taxes_crisis_shock,Trade_Taxes_recovery_time_1_2,Trade_Taxes_recovery_time_3_4,Trade_Taxes_recovery_time,Total_Non_Tax_Revenue_value_crisis,Total_Non_Tax_Revenue_value_pre_crisis,Total_Non_Tax_Revenue_crisis_year,Total_Non_Tax_Revenue_turn_around_year,Total_Non_Tax_Revenue_recovery_year_1_2,Total_Non_Tax_Revenue_recovery_year_3_4,Total_Non_Tax_Revenue_recovery_year,Total_Non_Tax_Revenue_recovery_year_1_2_str,Total_Non_Tax_Revenue_recovery_year_3_4_str,Total_Non_Tax_Revenue_recovery_year_str,Total_Non_Tax_Revenue_crisis_shock,Total_Non_Tax_Revenue_recovery_time_1_2,Total_Non_Tax_Revenue_recovery_time_3_4,Total_Non_Tax_Revenue_recovery_time
215,SRB,39231060776.62235,40492805121.38985,2009,2010,2011,2013,2013,2011,2013,2013,-1261744344.7674942,2,4,4,-3.1159742,5.8887587,2008,2010,2011,2018,2018,2011,Did not Recover,Did not Recover,-9.0047329,3,10,10,,-5.5971603,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,-34.38044173250953,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,28.783281157123042,2008,,,,,Trend,Trend,Trend,,,,,,24.594091539528442,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,6.032684075710431,2009,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,10.979893005745991,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,3.7867942030978705,3.9072954230235784,2008,2009,2009,2009,2009,2009,2009,2009,-0.12050121992570784,1,1,1,,2.2738617000198142,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,3.782916248926982,4.18918961759461,2008,2010,2010,2011,2015,2010,2011,2015,-0.4062733686676281,2,3,7
216,SSA,,1191393639761.796,2008,,,,,Trend,Trend,Trend,,,,,1.2150332,6.652978900000001,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-5.437945700000001,10,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
217,SSD,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
218,SSF,,1192339328389.503,2008,,,,,Trend,Trend,Trend,,,,,1.2174553,6.655891900000001,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-5.438436600000001,10,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
219,SST,,343649735013.6763,2008,,,,,Trend,Trend,Trend,,,,,,8.4537992,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
220,STP,,167044628.8046867,2008,,,,,Trend,Trend,Trend,,,,,2.4262843,8.1861753,2009,2010,2010,2018,2018,2010,Did not Recover,Did not Recover,-5.7598910000000005,1,9,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,14.67913743829566,37.95781943550089,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-23.278681997205226,10,10,10,12.32787737074565,15.95009784112483,2008,2017,2018,2018,2010,Did not Recover,Did not Recover,2010,-3.6222204703791796,10,10,2,3.958609093477437,4.108741185753897,2008,2009,2009,2009,2009,2009,2009,2009,-0.15013209227645996,1,1,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,7.820545653879554,2008,,,,,Trend,Trend,Trend,,,,,1.391216234455235,22.04646017147358,2008,2013,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-20.655243937018344,10,10,10
221,SUR,,3871615502.312418,2008,,,,,Trend,Trend,Trend,,,,,,5.098949,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,20.69827399316268,23.644299714675604,2008,2011,2011,2011,2011,2011,2011,2011,-2.9460257215129246,3,3,3,15.271009588268472,19.60749286688996,2008,2010,2011,2012,2013,2011,2012,2013,-4.336483278621488,3,4,5,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,3.730686739533925,3.954447339039821,2008,2009,2009,2009,2009,2009,2009,2009,-0.223760599505896,1,1,1
222,SVK,85205207756.77751,90090397691.86586,2009,2010,2010,2010,2011,2010,2010,2011,-4885189935.088348,1,1,2,-5.422542099999999,10.799578,2008,2010,2010,2018,2018,2010,Did not Recover,Did not Recover,-16.222120099999998,2,10,10,-17.749031,-11.829642,2008,2010,2011,2015,2018,2011,2015,Did not Recover,-5.919388999999999,3,7,10,-41.6238520511863,-34.67920131914468,2008,2010,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-6.944650732041616,10,10,10,22.418060505368928,22.84955939001544,2008,2011,2011,2011,2009,2011,2011,2009,-0.431498884646512,3,3,1,15.835821056558348,17.679401880541942,2008,2013,2013,2014,2014,2013,2014,2014,-1.8435808239835936,5,6,6,5.28733052986278,6.3963206942872795,2009,2011,2013,2014,2014,2013,2014,2014,-1.1089901644244993,4,5,5,5.889756191869882,6.736897678134925,2009,2013,2013,2014,2015,2013,2014,2015,-0.847141486265043,4,5,6,2.636974594680906,3.4356877950581497,2008,2009,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-0.7987132003772439,10,10,10,4.36732593902e-05,0.0011567024025753,2008,2010,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-0.0011130291431851,10,10,10,6.6247298446782645,7.501740167803128,2010,2011,2011,2011,2011,2011,2011,2011,-0.8770103231248632,1,1,1
223,SVN,46502839741.48428,51437289127.817184,2009,2014,2016,2016,2017,2016,2016,2017,-4934449386.332901,7,7,8,-7.797277,6.9416466,2008,2010,2010,2017,2018,2010,2017,Did not Recover,-14.7389236,2,9,10,-22.562414,-7.197161200000001,2008,2014,2014,2015,2018,2014,2015,Did not Recover,-15.3652528,6,7,10,-52.681364813461535,-35.930847328356535,2008,2014,2014,2017,2018,2014,2017,Did not Recover,-16.750517485105,6,9,10,27.72021514273893,28.733685921195192,2008,2010,2010,2010,2012,2010,2010,2012,-1.0134707784562629,2,2,4,,23.68098306437817,2008,,,,,Trend,Trend,Trend,,,,,6.2684945410654525,8.670174488224895,2008,2014,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-2.401679947159442,10,10,10,7.976695628189213,8.476409876261616,2008,2010,2013,2013,2018,2013,2013,Did not Recover,-0.4997142480724035,5,5,10,,3.4089439470833085,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,6.072617729262247,5.052702856817014,2008,2009,2009,2009,2008,2009,2009,2008,1.0199148724452334,1,1,0
224,SWE,460781805680.1519,488700407872.3749,2008,2010,2010,2010,2011,2010,2010,2011,-27918602192.22296,2,2,3,,3.4049475,2008,,,,,Trend,Trend,Trend,,,,,7.0704761,10.164748,2009,2015,2016,2016,2018,2016,2016,Did not Recover,-3.0942719,7,7,9,-33.02491054047457,-31.02636538997622,2009,2010,2011,2015,2018,2011,2015,Did not Recover,-1.9985451504983516,2,6,9,39.559826685281905,41.19647334489349,2008,2015,2016,2017,2018,2016,2017,Did not Recover,-1.6366466596115856,8,9,10,31.83791965643473,33.17654087445814,2008,2011,2013,2015,2016,2013,2015,2016,-1.338621218023409,5,7,8,,17.39474105025574,2008,,,,,Trend,Trend,Trend,,,,,9.167000157265603,8.990479610904547,2008,2013,2013,2013,2008,2013,2013,2008,0.17652054636105596,5,5,0,2.15553991760771,2.5733685433874123,2008,2016,2018,2018,2009,Did not Recover,Did not Recover,2009,-0.41782862577970237,10,10,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,6.81422752711344,8.280902540752628,2009,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-1.466675013639188,9,9,9
225,SWZ,,4176323195.4178257,2008,,,,,Trend,Trend,Trend,,,,,0.39112428,4.4353766,2008,2016,2016,2018,2012,2016,Did not Recover,2012,-4.04425232,8,10,4,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,17.11509370095701,31.3288759048984,2009,2011,2012,2012,2018,2012,2012,Did not Recover,-14.213782203941388,3,3,9,16.00061851863249,29.812457281446363,2009,2011,2012,2012,2018,2012,2012,Did not Recover,-13.811838762813874,3,3,9,5.383573867743461,6.100458208894162,2008,2013,2013,2013,2008,2013,2013,2008,-0.7168843411507009,5,5,0,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,8.089783672338985,22.081486789402124,2009,2011,2012,2018,2018,2012,Did not Recover,Did not Recover,-13.991703117063139,3,9,9,0.6041651088013159,1.7184388168391767,2008,2013,2016,2018,2018,2016,Did not Recover,Did not Recover,-1.1142737080378606,8,10,10
226,SXM,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
227,SYC,915423405.095384,945962968.2345127,2008,2010,2010,2010,2010,2010,2010,2010,-30539563.139128685,2,2,2,-2.1468902,10.421438,2008,2009,2010,2011,2018,2010,2011,Did not Recover,-12.5683282,2,3,10,2.9754097,4.768403500000001,2009,2010,2010,2011,2011,2010,2011,2011,-1.7929938000000005,1,2,2,,-24.93280803257899,2009,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,29.565182065377623,29.701211632229146,2009,2010,2010,2010,2010,2010,2010,2010,-0.1360295668515228,1,1,1,22.36789045588717,23.25125932717297,2008,2009,2009,2009,2009,2009,2009,2009,-0.8833688712857999,1,1,1,4.8173025281897495,5.204636716719606,2008,2016,2016,2016,2008,2016,2016,2008,-0.3873341885298567,8,8,0,9.689362175588863,11.54493442102224,2008,2012,2014,2018,2009,2014,Did not Recover,2009,-1.8555722454333772,6,10,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,4.670800014438348,2008,,,,,Trend,Trend,Trend,,,,,4.019315227057656,7.333321176341971,2009,2015,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-3.314005949284315,9,9,9
228,SYR,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,22.25289706547482,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,14.05050775965218,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,6.7716957024759035,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,0.6595283738726212,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,1.4625615709918358,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,9.513655711052833,8.202389305822635,2008,2009,,,2008,Did not Recover,Did not Recover,2008,1.3112664052301977,,,0
229,TCA,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
230,TCD,,8739274636.737028,2008,,,,,Trend,Trend,Trend,,,,,0.082865596,3.2714967999999995,2008,2012,2012,2012,2009,2012,2012,2009,-3.1886312039999996,4,4,1,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,9.525154510904814,21.1955757755268,2009,2017,2018,2018,2011,Did not Recover,Did not Recover,2011,-11.670421264621988,9,9,2,9.873320509417734,14.78559089205677,2008,2010,2010,2010,2011,2010,2010,2011,-4.912270382639036,2,2,3,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,7.157617618142606,2009,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
231,TEA,,6136491797178.124,2008,,,,,Trend,Trend,Trend,,,,,6.3323054,12.164304,2008,2017,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,-5.8319985999999995,10,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
232,TEC,3467869522341.537,3647615851023.547,2009,2010,2010,2010,2011,2010,2010,2011,-179746328682.00977,1,1,2,,7.5547113,2008,,,,,Trend,Trend,Trend,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,-34.19509801846353,-27.67237932986326,2009,2010,2011,2011,2018,2011,2011,Did not Recover,-6.522718688600271,2,2,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
233,TGO,,2940194798.753793,2008,,,,,Trend,Trend,Trend,,,,,4.062252,2.2904501,2008,2009,2009,2009,2008,2009,2009,2008,1.7718018999999998,1,1,0,0.60365415,1.6471745999999998,2009,2013,2013,2014,2010,2013,2014,2010,-1.04352045,4,5,1,-18.41592019922546,-13.231588611396019,2009,2017,2017,2018,2018,2017,Did not Recover,Did not Recover,-5.184331587829442,8,9,9,14.87876322607194,15.95151483443449,2008,2009,2009,2009,2010,2009,2009,2010,-1.0727516083625517,1,1,2,14.24748359642732,15.368936776808269,2008,2009,2011,2011,2011,2011,2011,2011,-1.1214531803809482,3,3,3,2.09933743907161,3.3411662994146365,2008,2013,2015,2015,2009,2015,2015,2009,-1.2418288603430265,7,7,1,5.822579272482446,6.644163650601842,2008,2010,2010,2010,2011,2010,2010,2011,-0.8215843781193968,2,2,3,0.8833409136989079,1.262201701087554,2008,2012,2013,2014,2014,2013,2014,2014,-0.37886078738864604,5,6,6,3.588871799023179,3.436235050218923,2008,2009,2009,2009,2008,2009,2009,2008,0.1526367488042557,1,1,0,0.6312796296446208,0.5825780576262143,2008,2009,2009,2009,2008,2009,2009,2008,0.048701572018406525,1,1,0
234,THA,317266875218.097,319473585807.4567,2009,2010,2010,2010,2010,2010,2010,2010,-2206710589.359741,1,1,1,-0.69073218,5.435093900000001,2008,2010,2010,2010,2010,2010,2010,2010,-6.125826080000001,2,2,2,,2.2579597999999996,2008,,,,,Trend,Trend,Trend,,,,,,-16.55113044945483,2008,,,,,Trend,Trend,Trend,,,,,18.19465586102249,19.225436007999228,2009,2010,2010,2010,2010,2010,2010,2010,-1.0307801469767384,1,1,1,15.34213652499892,16.34605043076433,2009,2010,2010,2011,2011,2010,2011,2011,-1.0039139057654083,1,2,2,6.318006474928044,7.342175674044076,2009,2011,2011,2011,2011,2011,2011,2011,-1.0241691991160318,2,2,2,3.2322361413430603,3.7900749691045537,2009,2010,2010,2011,2011,2010,2011,2011,-0.5578388277614934,1,2,2,3.3625454469033063,3.8726986647763235,2008,2009,2009,2010,2010,2009,2010,2010,-0.5101532178730173,1,2,2,,1.009270951280075,2008,,,,,Trend,Trend,Trend,,,,,2.6953799070252984,2.878355385615147,2009,2012,2013,2013,2010,2013,2013,2010,-0.18297547858984853,4,4,1
235,TJK,,4724583525.069979,2008,,,,,Trend,Trend,Trend,,,,,3.8928239000000002,7.9105315,2009,2010,2010,2011,2018,2010,2011,Did not Recover,-4.0177076,1,2,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,17.74232652863308,18.53597592140383,2009,2010,2010,2010,2010,2010,2010,2010,-0.7936493927707495,1,1,1,15.53605198079814,16.71304446589812,2009,2010,2011,2011,2011,2011,2011,2011,-1.1769924850999782,2,2,2,2.572548128797774,2.386541471048513,2008,2009,2009,2009,2008,2009,2009,2008,0.18600665774926117,1,1,0,,8.921574195013914,2009,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,1.768388106416275,2008,,,,,Trend,Trend,Trend,,,,,1.817252541314101,2.715179968701096,2008,2009,2010,2010,2010,2010,2010,2010,-0.8979274273869948,2,2,2
236,TKM,,16993515438.403568,2008,,,,,Trend,Trend,Trend,,,,,6.1000042,14.7,2009,2010,2011,2011,2018,2011,2011,Did not Recover,-8.599995799999999,2,2,9,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,19.1146149181322,14.75185185185185,2008,2009,,,2008,Did not Recover,Did not Recover,2008,4.362763066280351,,,0,18.61936527188195,14.062962962962962,2008,2009,,,2008,Did not Recover,Did not Recover,2008,4.5564023089189885,,,0,7.226601980998584,5.196296296296296,2008,2009,,,2008,Did not Recover,Did not Recover,2008,2.030305684702288,,,0,4.942389326864767,4.822222222222221,2008,2009,,,2008,Did not Recover,Did not Recover,2008,0.12016710464254565,,,0,1.8111987062866393,0.9037037037037038,2008,2009,,,2008,Did not Recover,Did not Recover,2008,0.9074950025829355,,,0,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,0.6888888888888889,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
237,TLA,4858798677879.537,4952883403240.642,2009,2010,2010,2010,2010,2010,2010,2010,-94084725361.10449,1,1,1,-1.899591,5.6636138,2008,2010,2010,2010,2010,2010,2010,2010,-7.5632048,2,2,2,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,-28.93020746720623,,2008,2016,2018,2018,2018,Did not Recover,Did not Recover,Did not Recover,,10,10,10,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,,,,2008,,,,,Did not Recover,Did not Recover,Did not Recover,,,,
