Country_Code,year,GDP_PC_Constant_USD,ln_GDP_PC_Constant_USD,GDP_Current_LCU,GDP_Constant_USD
GHA,1962,1067.6095289701216,6.973177343090126,98700.0,7550098290.152715
GHA,1963,1079.810928270498,6.984541238376146,110000.0,7882753672.929741
GHA,1964,1070.761065957967,6.976124951214869,123600.0,8056909517.968744
GHA,1965,1055.2681133290241,6.961550149480015,146600.0,8167208518.189789
GHA,1966,984.6383938184404,6.892274460894981,151800.0,7819425064.1608515
GHA,1967,991.0360366100164,6.898750897553819,150400.0,8059900851.650051
GHA,1968,972.1042172671436,6.879463018123491,170000.0,8089630628.439849
GHA,1969,1006.5128967915946,6.914247058501574,200100.0,8575507997.896528
GHA,1970,1077.1395692556716,6.9820642595268705,225900.0,9409345167.255934
GHA,1971,1103.2960901656768,7.006057423996433,250000.0,9900148331.19089
GHA,1972,1045.9635215018443,6.952693769735527,281500.0,9653866756.594282
GHA,1973,1046.219652163009,6.952938615087184,350100.0,9932340671.231438
GHA,1974,1088.6090167014918,6.992656028807513,466000.0,10612955987.50648
GHA,1975,930.6672268094544,6.835901777086595,528300.0,9293592670.888964
GHA,1976,879.0437981379337,6.778834723676986,652600.0,8965511860.39168
GHA,1977,882.058455271717,6.782258329628919,1116300.0,9169397215.029736
GHA,1978,939.2200684148162,6.845049816408173,2098600.0,9946589417.831034
GHA,1979,897.3765067214488,6.799475513927358,2822200.0,9696438520.854391
GHA,1980,881.1575197438219,6.7812364064849975,4285200.0,9742176227.929907
GHA,1981,828.3982659758419,6.719494036298381,7262600.0,9400901272.59619
GHA,1982,749.3486872557266,6.619204412245508,8645100.0,8750015733.110912
GHA,1983,693.9499763392489,6.5423998777060905,18403800.0,8350687983.326956
GHA,1984,731.3452293772852,6.594885618275363,27056100.0,9072819526.931383
GHA,1985,745.8587638467485,6.614536257677382,34304800.0,9534772773.11028
GHA,1986,761.9159588621919,6.635836259397137,51139300.0,10030500929.95138
GHA,1987,775.6373242413056,6.653685045265423,74600000.0,10511453306.501982
GHA,1988,796.0864861415768,6.6797078308739275,105119600.0,11103055638.28142
