Country_Code,year,GDP_Constant_USD
FSM,2003,303422361.33888155
FSM,2004,294076488.2293822
FSM,2005,300081139.4794513
FSM,2006,299837907.8313587
FSM,2007,294332328.26185006
FSM,2008,287243355.95551306
FSM,2009,290383210.89943635
FSM,2010,296944100.0
FSM,2011,306412384.60828775
FSM,2012,300692217.68140304
FSM,2013,289627442.3059165
FSM,2014,282949282.98951346
FSM,2015,296026870.6395782
FSM,2016,298691646.5567036
FSM,2017,306703111.9179103
FSM,2018,307352260.09598535
FSM,2019,311041375.43497235
GAB,1960,2187247770.685355
GAB,1961,2510235219.089967
GAB,1962,2697227952.139551
GAB,1963,2861554819.586582
GAB,1964,2991883007.067702
GAB,1965,3241206660.6134725
GAB,1966,3387320404.890114
GAB,1967,3526713817.21498
GAB,1968,3615192044.5170727
GAB,1969,3907404779.485871
GAB,1970,4246541810.4816628
GAB,1971,4682183107.871379
GAB,1972,5213000834.138234
GAB,1973,5743811183.612847
GAB,1974,8011875372.579186
GAB,1975,9549363463.023258
GAB,1976,12951356470.687735
GAB,1977,11321804992.02775
GAB,1978,8599000778.650621
GAB,1979,8639794892.347948
GAB,1980,8860363426.499634
GAB,1981,9311828118.392143
GAB,1982,9023392343.016373
GAB,1983,9529445903.04602
GAB,1984,10245002686.43717
GAB,1985,10005991964.629436
GAB,1986,9925584039.947165
GAB,1987,8223739210.382688
GAB,1988,9280107562.157763
GAB,1989,10073121520.733377
GAB,1990,10596141891.242455
GAB,1991,11243831433.40952
GAB,1992,10896380665.303083
GAB,1993,11326412322.129713
GAB,1994,11746934243.94136
GAB,1995,12331208870.095955
GAB,1996,12778221236.430033
GAB,1997,13511482517.501656
GAB,1998,13981389394.6225
GAB,1999,12732484617.47995
GAB,2000,12492736210.552073
GAB,2001,12759485289.438858
GAB,2002,12727709938.932735
GAB,2003,13013743584.167612
GAB,2004,13103478949.698654
GAB,2005,13454154690.103758
GAB,2006,13076553296.630184
GAB,2007,13862206744.622297
GAB,2008,13403585248.084925
GAB,2009,13421054290.83433
GAB,2010,14372591916.47923
GAB,2011,15391860684.13247
GAB,2012,16200099127.691332
GAB,2013,17113573955.752163
GAB,2014,17852018586.539886
GAB,2015,18544480427.502556
GAB,2016,18932327518.472466
GAB,2017,19021809655.754524
GAB,2018,19182154180.11728
GAB,2019,19938879843.22249
GAB,2020,19674901724.72467
GBR,1960,730913039676.0916
GBR,1961,750480451121.4336
GBR,1962,758757572432.3519
GBR,1963,795742330123.9353
GBR,1964,839776000263.4004
GBR,1965,857765484759.3691
GBR,1966,871258997151.716
GBR,1967,895536408170.661
GBR,1968,944263291353.8604
GBR,1969,962431831454.024
GBR,1970,994970207931.23
GBR,1971,1029841101067.0286
GBR,1972,1074347410338.7906
GBR,1973,1144436207671.2498
GBR,1974,1116003788738.1677
GBR,1975,1099557804560.0947
GBR,1976,1131557863317.3901
GBR,1977,1159368732284.4094
GBR,1978,1208111613579.523
GBR,1979,1253403918971.1182
GBR,1980,1227942675532.34
GBR,1981,1218269633085.3638
GBR,1982,1242572786564.916
GBR,1983,1295032425552.7341
GBR,1984,1324418072941.028
GBR,1985,1379347186130.58
GBR,1986,1422801320350.9448
GBR,1987,1499529272688.911
GBR,1988,1585488493375.6516
GBR,1989,1626356088044.7761
GBR,1990,1638289565345.8708
GBR,1991,1620217238383.413
GBR,1992,1626715639780.4983
GBR,1993,1667218108921.873
GBR,1994,1731339469629.5718
GBR,1995,1775171272910.1682
GBR,1996,1819401633040.1924
GBR,1997,1909922231658.1333
GBR,1998,1980737775172.5098
GBR,1999,2046007078423.1353
GBR,2000,2117744535140.2566
GBR,2001,2175566069186.1267
GBR,2002,2222966092388.2354
GBR,2003,2296810396769.9214
GBR,2004,2349321871594.955
GBR,2005,2418760584175.2485
GBR,2006,2483917165662.055
GBR,2007,2542551914678.856
GBR,2008,2535463784367.2983
GBR,2009,2431156088971.622
GBR,2010,2481579504997.8086
GBR,2011,2513237223477.6665
GBR,2012,2549186468912.6816
GBR,2013,2604914574687.661
GBR,2014,2679486211063.8086
GBR,2015,2742804332759.546
GBR,2016,2790046007973.5786
GBR,2017,2838601442114.136
GBR,2018,2874157497314.1445
GBR,2019,2913556871434.8096
GBR,2020,2628312650645.439
GEO,1965,7345028481.073327
GEO,1966,7898522745.869591
GEO,1967,8392180381.430964
GEO,1968,8766164037.413572
GEO,1969,9185024480.268536
GEO,1970,10292014307.857445
GEO,1971,10546323407.373896
GEO,1972,10845509293.762754
GEO,1973,11548597799.749943
GEO,1974,12565832178.710268
GEO,1975,13493309378.379858
GEO,1976,14316072585.054958
GEO,1977,15303387711.955864
GEO,1978,16440295926.273117
GEO,1979,17652002631.29321
GEO,1980,18459805274.496735
GEO,1981,19432161424.366238
GEO,1982,19821103624.714752
GEO,1983,20673785073.89635
GEO,1984,21795735464.956783
GEO,1985,22872805607.820873
GEO,1986,21002890645.010075
GEO,1987,21272156702.452267
GEO,1988,22453943722.747585
GEO,1989,20838337138.344055
GEO,1990,17756716768.509594
GEO,1991,14010049401.104115
GEO,1992,7719537296.148393
GEO,1993,5457712716.096861
GEO,1994,4890110922.628573
GEO,1995,5017253646.4333725
GEO,1996,5579186155.557469
GEO,1997,6166063047.10061
GEO,1998,6357513306.229961
GEO,1999,6539926704.609825
GEO,2000,6660152862.916268
GEO,2001,6980203396.624445
GEO,2002,7362288338.947202
GEO,2003,8176463427.070821
GEO,2004,8650248301.559814
GEO,2005,9479770268.950912
GEO,2006,10372742886.205212
GEO,2007,11677525383.367682
GEO,2008,11959954702.767214
GEO,2009,11523354926.117876
GEO,2010,12243505582.674072
GEO,2011,13149524979.525465
GEO,2012,13987019317.715511
GEO,2013,14493531996.84801
GEO,2014,15135874439.15892
GEO,2015,15593311953.516537
GEO,2016,16046522019.223135
GEO,2017,16823591412.020891
GEO,2018,17638344465.89595
GEO,2019,18517148605.194244
GEO,2020,17376552815.602238
GHA,1960,7011622290.368497
GHA,1961,7252098077.857697
GHA,1962,7550098290.152715
GHA,1963,7882753672.929741
GHA,1964,8056909517.968744
GHA,1965,8167208518.189789
GHA,1966,7819425064.1608515
GHA,1967,8059900851.650051
GHA,1968,8089630628.439849
GHA,1969,8575507997.896528
GHA,1970,9409345167.255934
GHA,1971,9900148331.19089
GHA,1972,9653866756.594282
GHA,1973,9932340671.231438
GHA,1974,10612955987.50648
GHA,1975,9293592670.888964
GHA,1976,8965511860.39168
GHA,1977,9169397215.029736
GHA,1978,9946589417.831034
GHA,1979,9696438520.854391
GHA,1980,9742176227.929907
GHA,1981,9400901272.59619
GHA,1982,8750015733.110912
GHA,1983,8350687983.326956
GHA,1984,9072819526.931383
GHA,1985,9534772773.11028
GHA,1986,10030500929.95138
GHA,1987,10511453306.501982
GHA,1988,11103055638.28142
GHA,1989,11667742913.887901
GHA,1990,12056140826.573582
GHA,1991,12692925251.870836
GHA,1992,13185337014.942408
GHA,1993,13824825935.190529
GHA,1994,14281045164.61601
GHA,1995,14868341569.179089
GHA,1996,15552651204.673183
GHA,1997,16205296043.418884
GHA,1998,16967008294.82012
GHA,1999,17713556131.493565
GHA,2000,18368957715.429276
GHA,2001,19103716042.157936
GHA,2002,19963383183.42402
GHA,2003,21001479123.729908
GHA,2004,22177561952.42967
GHA,2005,23486038976.139336
