year,Country_Code,GDP_Curr_USD,GDP_Curr_LCU,LCU_USD_ex_rate
1973,DZA,8715105930.491009,34504847400.0,0.2525762780359669
1974,DZA,13209713643.321854,55227170800.0,0.23918867202449295
1975,DZA,15557934268.49648,61444505600.0,0.2532030181799767
1976,DZA,17728347374.993996,73817292800.0,0.24016523368077236
1977,DZA,20971901273.270958,86966280200.0,0.24114980225716218
1978,DZA,26364491313.447136,104558936100.0,0.2521495751279659
1979,DZA,33243422157.631123,128096878600.0,0.2595178158980614
1980,DZA,42345277342.01955,162500001800.0,0.26058631921824105
1981,DZA,44348672667.87154,191400001500.0,0.23170675193475135
1982,DZA,45207088715.64827,207599992800.0,0.21776055049867166
1983,DZA,48801369800.36752,233699999700.0,0.2088205813564985
1984,DZA,53698278905.96781,267600003099.99997,0.20066621182325323
1985,DZA,57937868670.193726,291300016100.0,0.19889414853415013
1986,DZA,63696301892.81157,299500011500.0,0.21267545725223308
1987,DZA,66742267773.195885,323699998700.0,0.2061855670103093
1988,DZA,59089067187.39434,349500014600.0,0.1690674240887266
1989,DZA,55631489801.5508,423300005900.0,0.1314233144959916
1990,DZA,62045099642.777405,555800002600.0,0.11163206072784103
1991,DZA,45715367087.1001,844499976200.0,0.05413305905916744
1992,DZA,48003298223.11779,1048200020000.0,0.045795933321121085
1993,DZA,49946455210.96595,1165999996900.0,0.04283572499464554
1994,DZA,42542571305.513565,1491500007400.0,0.02852334635899484
1995,DZA,41764052457.88138,1990600032300.0,0.02098063487401129
1996,DZA,46941496779.84986,2570000007200.0,0.018265173793128642
1997,DZA,48177862501.9495,2780199911400.0,0.017328920234980158
1998,DZA,48187747528.89903,2830500102100.0,0.017024464154990725
1999,DZA,48640610448.52345,3238200000000.0,0.01502087902184036
2000,DZA,54788732394.366196,4123400000000.0,0.013287270794578794
2001,DZA,54745839538.949684,4227200000000.0,0.012950851518487341
2002,DZA,56760623478.32635,4522800000000.0,0.012549885796039256
2003,DZA,67864849150.46192,5252400000000.0,0.01292073131339234
2004,DZA,85324767230.49385,6149100000000.0,0.013875976521847726
2005,DZA,103198442061.07567,7562000000000.0,0.013646977262771181
2006,DZA,117025435464.28876,8501500000000.0,0.013765269124776658
2007,DZA,134977284666.13943,9352900000000.0,0.014431597115989632
2008,DZA,171000637940.752,11043700000000.0,0.015483998835603287
2009,DZA,137210691642.09592,9968000000000.0,0.013765117540338675
2010,DZA,161207754147.2858,11991600000000.0,0.013443389885193452
2011,DZA,200019468616.4532,14589000000000.0,0.013710293276883487
2012,DZA,209060307470.0784,16209700000000.0,0.012897234832851835
2013,DZA,209754763860.68008,16647900000000.0,0.012599472838056456
2014,DZA,213808808746.6958,17228500000000.0,0.01241018131274898
2015,DZA,165979418301.86093,16712700000000.0,0.009931334751527935
2016,DZA,160033844070.57184,17514600000000.0,0.009137168080948
2017,DZA,167389364980.671,18575700000000.0,0.009011200922746975
2018,DZA,173757952824.24966,20259100000000.0,0.008576785386529987
2019,DZA,169988236398.12585,20288300000000.0,0.008378633813484908
1960,EAP,80250159669.78682,,
1961,EAP,70445726827.73633,,
1962,EAP,64553499047.07417,,
1963,EAP,69902479790.00055,,
1964,EAP,81044807820.78333,,
1965,EAP,94580860952.1939,,
1966,EAP,103540041864.07144,,
1967,EAP,100327033784.948,,
1968,EAP,101263068291.86829,,
1969,EAP,113707748049.3806,,
1970,EAP,126754164502.89757,,
1971,EAP,136311941640.74287,,
1972,EAP,154640228428.407,,
1973,EAP,194699953514.39844,,
1974,EAP,219658185705.86523,,
1975,EAP,246942708049.70206,,
1976,EAP,250648493263.76956,,
1977,EAP,289643923226.533,,
1978,EAP,280406064475.2723,,
1979,EAP,324799432866.2669,,
1980,EAP,374769257985.26306,,
1981,EAP,399917645990.7625,,
1982,EAP,419713108282.115,,
1983,EAP,440416957121.3527,,
1984,EAP,478099967385.15155,,
1985,EAP,523951849680.5561,,
1986,EAP,522469756426.5469,,
1987,EAP,516023943336.0597,,
1988,EAP,572336425463.8481,,
1989,EAP,618569166611.6859,,
1990,EAP,662964315626.1053,,
1991,EAP,719497245186.1078,,
1992,EAP,806272338495.1292,,
1993,EAP,885158062316.726,,
1994,EAP,1064779454242.0468,,
1995,EAP,1314205076372.1665,,
1996,EAP,1509504090934.1277,,
1997,EAP,1563544956269.3618,,
1998,EAP,1433041302417.3289,,
1999,EAP,1576359105175.5557,,
2000,EAP,1737752586052.9668,,
2001,EAP,1848765580675.554,,
2002,EAP,2046183481392.7578,,
2003,EAP,2315809436004.012,,
2004,EAP,2685103964521.3076,,
2005,EAP,3110071347780.9766,,
2006,EAP,3745551105560.714,,
2007,EAP,4735190070843.853,,
2008,EAP,5990676982469.165,,
2009,EAP,6496024129809.317,,
2010,EAP,7874608267028.149,,
2011,EAP,9620165120662.445,,
2012,EAP,10727515384624.81,,
2013,EAP,11835474351551.5,,
2014,EAP,12761470173397.809,,
2015,EAP,13294449896255.98,,
2016,EAP,13575632475890.434,,
2017,EAP,14835611946612.922,,
2018,EAP,16593031497791.33,,
2019,EAP,17214358920071.627,,
1960,EAR,151709712668.12045,,
1961,EAR,152832652080.6118,,
1962,EAR,158620916493.97403,,
1963,EAR,168184829820.2482,,
1964,EAR,193054220210.78436,,
1965,EAR,209370309380.6444,,
1966,EAR,206447468072.9467,,
1967,EAR,216937128399.7801,,
1968,EAR,234833822519.33994,,
1969,EAR,262319753409.10455,,
1970,EAR,278994484724.63025,,
1971,EAR,301195581714.00165,,
1972,EAR,331102859029.5194,,
1973,EAR,423296913898.84656,,
1974,EAR,593363755159.9945,,
1975,EAR,635893108169.2152,,
1976,EAR,693419305043.9653,,
1977,EAR,775116727019.8413,,
1978,EAR,858590081049.1891,,
1979,EAR,1044295099485.2634,,
1980,EAR,1297141135291.5156,,
1981,EAR,1446318909195.1255,,
1982,EAR,1378831551176.5308,,
1983,EAR,1391272578428.168,,
1984,EAR,1379802242004.1414,,
1985,EAR,1414842278224.7808,,
1986,EAR,1425432374410.9417,,
1987,EAR,1431392436622.163,,
1988,EAR,1525258252259.079,,
1989,EAR,1550105031921.0356,,
1990,EAR,1819189107638.338,,
1991,EAR,1927251971491.501,,
1992,EAR,2115132501112.8386,,
1993,EAR,2316401703063.6265,,
1994,EAR,2429056173361.255,,
1995,EAR,2494278628728.687,,
1996,EAR,2716536017390.068,,
1997,EAR,2905273944931.7935,,
1998,EAR,2871326621892.1226,,
1999,EAR,3038477481903.7544,,
2000,EAR,3306202502682.2573,,
2001,EAR,3273076225662.787,,
2002,EAR,3179378973480.4644,,
2003,EAR,3536575698238.3,,
2004,EAR,4108232520537.6074,,
2005,EAR,4788560731036.115,,
2006,EAR,5476772417174.39,,
2007,EAR,6494456668118.528,,
2008,EAR,7321734011568.378,,
2009,EAR,7048284885385.46,,
2010,EAR,8563599525986.246,,
2011,EAR,9600669035259.555,,
2012,EAR,10068198160963.195,,
2013,EAR,10245107115659.684,,
2014,EAR,10606787095413.508,,
2015,EAR,10295016612748.783,,
2016,EAR,10532737973113.32,,
2017,EAR,11377092504041.16,,
2018,EAR,11635200936633.06,,
2019,EAR,11981574482646.916,,
1960,EAS,153258028075.73148,,
1961,EAS,153705792933.02847,,
1962,EAS,157267942650.68167,,
1963,EAS,175495006177.41907,,
1964,EAS,201630975883.9722,,
1965,EAS,224575509176.58633,,
1966,EAS,251080262735.92957,,
1967,EAS,272054330043.32037,,
1968,EAS,299757761517.81494,,
1969,EAS,345294301649.8523,,
1970,EAS,407329659539.4137,,
1971,EAS,452784329892.6224,,
1972,EAS,562058425673.805,,
1973,EAS,740869999972.3265,,
1974,EAS,852972945327.525,,
1975,EAS,933920749914.5466,,
1976,EAS,1026745723354.7474,,
1977,EAS,1223972713357.8406,,
1978,EAS,1544901903362.375,,
1979,EAS,1677595534268.3748,,
1980,EAS,1812981321182.7537,,
1981,EAS,1998628482473.9097,,
1982,EAS,1958543102254.6152,,
1983,EAS,2084750586491.2688,,
1984,EAS,2233378136768.6807,,
1985,EAS,2357130308495.045,,
1986,EAS,3081078920189.085,,
1987,EAS,3618478206503.865,,
1988,EAS,4354170554615.1147,,
1989,EAS,4534618493440.166,,
1990,EAS,4736096315721.288,,
1991,EAS,5347750524399.055,,
1992,EAS,5842941664477.267,,
1993,EAS,6535129751165.759,,
1994,EAS,7308953618802.797,,
1995,EAS,8306272703948.58,,
1996,EAS,8004162084076.126,,
1997,EAS,7659317500057.093,,
1998,EAS,6865591961879.142,,
1999,EAS,7667692170991.058,,
2000,EAS,8297740877966.679,,
2001,EAS,7718718337412.975,,
2002,EAS,7844829803399.646,,
2003,EAS,8626664087161.214,,
2004,EAS,9677447362490.424,,
2005,EAS,10332299676968.852,,
2006,EAS,10960325073229.611,,
2007,EAS,12262820750019.938,,
2008,EAS,14147981845874.932,,
2009,EAS,14572247880948.842,,
2010,EAS,16988581956233.59,,
2011,EAS,19687263988191.652,,
2012,EAS,21071949150429.09,,
2013,EAS,21318406932505.797,,
2014,EAS,22002024770464.363,,
2015,EAS,21911486166782.688,,
2016,EAS,22658432406058.773,,
2017,EAS,24223285701971.445,,
2018,EAS,26346980787877.35,,
2019,EAS,26979805534122.74,,
1960,ECA,,,
1961,ECA,,,
1962,ECA,,,
1963,ECA,,,
1964,ECA,,,
1965,ECA,,,
1966,ECA,,,
1967,ECA,,,
1968,ECA,,,
1969,ECA,,,
1970,ECA,,,
1971,ECA,,,
1972,ECA,,,
1973,ECA,,,
1974,ECA,,,
1975,ECA,,,
1976,ECA,,,
1977,ECA,,,
1978,ECA,,,
1979,ECA,,,
1980,ECA,,,
1981,ECA,,,
1982,ECA,,,
1983,ECA,,,
1984,ECA,,,
1985,ECA,,,
1986,ECA,,,
1987,ECA,,,
1988,ECA,863030506173.9749,,
1989,ECA,835004652778.5065,,
1990,ECA,894083166404.8977,,
1991,ECA,872303010362.8269,,
1992,ECA,803998604709.5182,,
1993,ECA,788214858383.6854,,
1994,ECA,676998380204.0065,,
1995,ECA,723131375610.1799,,
1996,ECA,730192255961.3766,,
1997,ECA,762254308255.1396,,
1998,ECA,706111732662.6458,,
1999,ECA,591958272901.2332,,
2000,ECA,661119645437.5234,,
2001,ECA,653622242888.6669,,
2002,ECA,748359576732.0536,,
2003,ECA,943611231857.0706,,
2004,ECA,1251449287057.9019,,
2005,ECA,1582558325367.9343,,
2006,ECA,1941869056882.6409,,
2007,ECA,2498216386721.866,,
2008,ECA,3096460560761.325,,
2009,ECA,2429334162339.138,,
2010,ECA,2939851952286.69,,
2011,ECA,3653970677298.044,,
2012,ECA,3897477678459.4653,,
2013,ECA,4131774515168.9297,,
2014,ECA,3836999997265.4155,,
2015,ECA,2912078642453.976,,
2016,ECA,2767175925737.945,,
2017,ECA,3108431403073.361,,
2018,ECA,3184989576029.9385,,
2019,ECA,3239459350297.9766,,
1960,ECS,,,
1961,ECS,,,
1962,ECS,,,
1963,ECS,,,
1964,ECS,,,
1965,ECS,,,
1966,ECS,735307332624.3888,,
1967,ECS,791879829026.2115,,
1968,ECS,828356346908.121,,
1969,ECS,916216482204.1327,,
1970,ECS,1015992285313.5966,,
1971,ECS,1147879058527.255,,
1972,ECS,1376371001784.1035,,
1973,ECS,1751292111478.026,,
1974,ECS,1980142659570.2192,,
1975,ECS,2311814902781.645,,
1976,ECS,2403602946765.411,,
1977,ECS,2718978772161.837,,
1978,ECS,3333119341715.8403,,
1979,ECS,4066048712226.8164,,
1980,ECS,4596830631488.048,,
1981,ECS,4091145846891.056,,
1982,ECS,3942271073056.9062,,
1983,ECS,3824325640846.061,,
1984,ECS,3675729021929.0396,,
1985,ECS,3803929714316.0566,,
1986,ECS,5191807980389.686,,
1987,ECS,6415371162228.537,,
1988,ECS,7141320680747.152,,
1989,ECS,7236891009734.584,,
1990,ECS,8853360743653.17,,
1991,ECS,9129698602189.97,,
1992,ECS,9790651702306.791,,
1993,ECS,8992379537130.889,,
1994,ECS,9402407382009.379,,
1995,ECS,10856191293195.846,,
1996,ECS,11078743547870.24,,
1997,ECS,10510295673265.342,,
1998,ECS,10780402177103.727,,
1999,ECS,10658243457062.602,,
2000,ECS,10030428207438.076,,
2001,ECS,10140934799637.238,,
2002,ECS,11086265575976.295,,
2003,ECS,13497007073837.139,,
2004,ECS,15733623407793.377,,
2005,ECS,16751465302815.857,,
2006,ECS,18141065035682.96,,
2007,ECS,21195423216160.707,,
2008,ECS,23267108774904.855,,
2009,ECS,20465348220321.29,,
2010,ECS,20959229509473.203,,
2011,ECS,23241488655356.746,,
2012,ECS,22405786947777.04,,
2013,ECS,23414098305288.895,,
2014,ECS,23734276559110.73,,
2015,ECS,20447703770614.117,,
2016,ECS,20378471931048.496,,
2017,ECS,21581860912436.957,,
2018,ECS,23105421234343.88,,
2019,ECS,22748788538189.836,,
1960,ECU,2069465326.4188159,1723727707.49622,1.2005755418440147
1961,ECU,1753850416.7082589,1606925598.75671,1.091432246810447
1962,ECU,1518208221.2305195,1517480482.39083,1.0004795704776004
1963,ECU,1824344492.0716863,1823470009.68825,1.0004795704776004
1964,ECU,2244146867.9019485,2243071157.1958003,1.0004795704776004
1965,ECU,2387048255.4517336,2385904000.0,1.0004795898962127
1966,ECU,2429309513.8085394,2428145000.0,1.0004795898962127
1967,ECU,2553596091.8225756,2552371999.9999995,1.0004795898962127
1968,ECU,2582180794.1855016,2580943000.0000005,1.0004795898962129
1969,ECU,3112166848.300401,3110675000.0,1.0004795898962127
1970,ECU,2862504169.9989314,2861132000.0000005,1.0004795898962127
1971,ECU,2754220263.025284,2752900000.0,1.0004795898962127
1972,ECU,3185987234.8408933,3184460000.0,1.0004795898962127
1973,ECU,3891755551.941378,3889889999.9999995,1.0004795898962127
1974,ECU,6599259420.996048,6596095999.999999,1.0004795898962127
1975,ECU,7731677256.809825,7727971000.0,1.0004795898962127
1976,ECU,9091924304.834766,9087566000.0,1.0004795898962127
1977,ECU,11026346589.501144,11021061000.0,1.0004795898962127
1978,ECU,11922502170.640518,11916787000.0,1.0004795898962127
1979,ECU,14175166007.57739,14168370999.999998,1.0004795898962127
1980,ECU,17881514682.878384,17872943000.0,1.0004795898962127
1981,ECU,21810767209.369488,21800312000.000004,1.0004795898962127
1982,ECU,19929853574.60952,19920299999.999996,1.0004795898962127
1983,ECU,17152483214.353634,17144261000.0,1.0004795898962127
1984,ECU,16912515183.278257,16904408000.0,1.0004795898962127
1985,ECU,17149094589.982655,17140874000.0,1.0004795898962127
1986,ECU,15314143988.062119,15306803000.0,1.0004795898962127
1987,ECU,13945431882.227064,13938747000.0,1.0004795898962127
1988,ECU,13051886552.337727,13045629999.999998,1.0004795898962127
1989,ECU,13890828707.649302,13884170000.000002,1.0004795898962127
1990,ECU,15239278100.350187,15231973000.000002,1.0004795898962127
1991,ECU,16988535267.633818,16980041000.000002,1.0005002501250624
1992,ECU,18094238119.059525,18085190999.999996,1.0005002501250624
1993,ECU,18938717358.67934,18929248000.0,1.0005002501250626
1994,ECU,22708673336.668327,22697318999.999996,1.0005002501250624
1995,ECU,24432884442.221107,24420668000.0,1.0005002501250624
1996,ECU,25226393196.598293,25213779999.999996,1.0005002501250624
1997,ECU,28162053026.513256,28147972000.0,1.0005002501250626
1998,ECU,27981896948.47423,27967905999.999996,1.0005002501250624
1999,ECU,19645272636.318157,19635450000.0,1.0005002501250624
2000,ECU,18327764882.44122,18318601000.0,1.0005002501250624
2001,ECU,24468324000.0,24468324000.0,1.0
2002,ECU,28548945000.0,28548945000.0,1.0
2003,ECU,32432857999.999996,32432857999.999996,1.0
2004,ECU,36591661000.0,36591661000.0,1.0
2005,ECU,41507085000.0,41507085000.0,1.0
2006,ECU,46802044000.0,46802044000.0,1.0
2007,ECU,51007777000.00001,51007777000.00001,1.0
2008,ECU,61762635000.00001,61762635000.00001,1.0
2009,ECU,62519686000.0,62519686000.0,1.0
2010,ECU,69555367000.0,69555367000.0,1.0
