Country_Code,year,GDP_Constant_USD
BFA,1963,1414913549.8902586
BFA,1964,1447213468.3985076
BFA,1965,1501694476.1702173
BFA,1966,1509767782.142371
BFA,1967,1642979348.953589
BFA,1968,1693431530.6034527
BFA,1969,1727741825.7814794
BFA,1970,1729763622.5433643
BFA,1971,1754211061.6839397
BFA,1972,1794759628.2935884
BFA,1973,1802823975.1569157
BFA,1974,1952213658.4643404
BFA,1975,2010748498.7842696
BFA,1976,2182363771.256813
BFA,1977,2190446233.1323223
BFA,1978,2291378162.389182
BFA,1979,2375348499.445507
BFA,1980,2394277149.7822814
BFA,1981,2496160906.6105967
BFA,1982,2734848720.52134
BFA,1983,2744310879.7480297
BFA,1984,2695497913.0614796
BFA,1985,2925083308.759007
BFA,1986,3157784296.067974
BFA,1987,3150321289.9130554
BFA,1988,3332901088.959922
BFA,1989,3404567370.409451
BFA,1990,3384040264.112126
BFA,1991,3690972190.1730757
BFA,1992,3699561479.676349
BFA,1993,3827617543.5598626
BFA,1994,3877950992.605952
BFA,1995,4099629169.5554466
BFA,1996,4551192822.183668
BFA,1997,4838684151.224806
BFA,1998,5192281623.017992
BFA,1999,5576263196.343989
BFA,2000,5681569470.792501
BFA,2001,6057314712.602602
BFA,2002,6320987431.104253
BFA,2003,6814182089.121884
BFA,2004,7119351972.4910555
BFA,2005,7736021215.032698
BFA,2006,8219767361.920833
BFA,2007,8557713152.5356245
BFA,2008,9054059808.605772
BFA,2009,9322236610.850988
BFA,2010,10109618964.284754
BFA,2011,10779134810.137
BFA,2012,11474677064.78317
BFA,2013,12139357469.461815
BFA,2014,12664608725.761314
BFA,2015,13161217009.737152
BFA,2016,13945359253.606115
BFA,2017,14810458138.259975
BFA,2018,15807384970.178505
BFA,2019,16708316591.358717
BGD,1960,17862547694.002487
BGD,1961,18944689560.833378
BGD,1962,19977749349.73171
BGD,1963,19886671931.18801
BGD,1964,22064817056.65607
BGD,1965,22419234996.32382
BGD,1966,22994694610.80474
BGD,1967,22563345431.167473
BGD,1968,24704483720.21191
BGD,1969,25006090363.61166
BGD,1970,26411395706.251007
BGD,1971,24964187761.27519
BGD,1972,21475759890.845745
BGD,1973,22189974985.073986
BGD,1974,24318427688.71607
BGD,1975,23324238301.03775
BGD,1976,24644707678.68735
BGD,1977,25303474528.302208
BGD,1978,27093401257.145824
BGD,1979,28394327386.376583
BGD,1980,28626917210.39062
BGD,1981,30697772282.97798
BGD,1982,31352963381.775097
BGD,1983,32569786438.339466
BGD,1984,34134214252.27919
BGD,1985,35274984694.67073
BGD,1986,36747144753.60944
BGD,1987,38133394723.0454
BGD,1988,39054795487.33772
BGD,1989,40162616836.68
BGD,1990,42420662839.6952
BGD,1991,43899119580.44231
BGD,1992,46288410618.7409
BGD,1993,48469317656.33034
BGD,1994,50354835398.08498
BGD,1995,52933646453.479225
BGD,1996,55327792521.51249
BGD,1997,57811953140.00045
BGD,1998,60804893490.126076
BGD,1999,63644577095.68025
BGD,2000,67013472133.672356
BGD,2001,70415938962.57045
BGD,2002,73115069176.56001
BGD,2003,76580407159.1288
BGD,2004,80592862795.19002
BGD,2005,85860367933.4753
BGD,2006,91588890098.74715
BGD,2007,98053782905.94939
BGD,2008,103950531260.88799
BGD,2009,109194965287.21016
BGD,2010,115279077465.22643
BGD,2011,122731154082.41632
BGD,2012,130735015707.15282
BGD,2013,138596904008.41605
BGD,2014,146997344629.7866
BGD,2015,156629551254.76993
BGD,2016,167771360258.82477
BGD,2017,179992118771.4033
BGD,2018,194146236466.49106
BGD,2019,209974367461.62534
BGR,1980,32356648110.54614
BGR,1981,33942176240.37887
BGR,1982,34734578608.12752
BGR,1983,35926080911.860596
BGR,1984,37146289995.90778
BGR,1985,38143088675.0465
BGR,1986,39747998038.65543
BGR,1987,42154546080.53935
BGR,1988,46768231340.09603
BGR,1989,45229611683.738785
BGR,1990,41105857427.234726
BGR,1991,37634321769.07168
BGR,1992,34897407869.4036
BGR,1993,34380851287.768074
BGR,1994,35005899014.03768
BGR,1995,36005335303.019135
BGR,1996,37855619063.48579
BGR,1997,32482841154.831295
BGR,1998,33874822442.095528
BGR,1999,31069642496.766205
BGR,2000,32555406323.543545
BGR,2001,33798124235.185665
BGR,2002,35810138200.22556
BGR,2003,37655019586.06871
BGR,2004,40080703028.404335
BGR,2005,42947892705.15451
BGR,2006,45869280338.71613
BGR,2007,48876966228.44166
BGR,2008,51851436378.65772
BGR,2009,50101534229.71466
BGR,2010,50381825504.264244
BGR,2011,51568094264.473434
BGR,2012,51751979375.91769
BGR,2013,51920571507.3287
BGR,2014,52899515523.16985
BGR,2015,55010127749.76931
BGR,2016,57111753665.435104
BGR,2017,59112236490.83878
BGR,2018,60940251461.19544
BGR,2019,63191572277.62134
BHR,1980,7624228989.361702
BHR,1981,7218871808.510638
BHR,1982,6673398138.297872
BHR,1983,7098919148.936169
BHR,1984,7454123936.170212
BHR,1985,7099436702.127659
BHR,1986,7183422606.382978
BHR,1987,7930427393.617022
BHR,1988,8485556648.936171
BHR,1989,8516444680.851064
BHR,1990,8894404255.319149
BHR,1991,9893245744.680851
BHR,1992,10555103723.404255
BHR,1993,11913546276.595745
BHR,1994,11883762234.042553
BHR,1995,12350793085.10638
BHR,1996,12858411436.170212
BHR,1997,13256122074.468084
BHR,1998,13891090691.489363
BHR,1999,14488407446.808512
BHR,2000,15256303191.489363
BHR,2001,15636329787.234045
BHR,2002,16159920212.765959
BHR,2003,17177420212.765959
BHR,2004,18376569148.936172
BHR,2005,19620478723.404255
BHR,2006,20889335106.38298
BHR,2007,22621888297.87234
BHR,2008,24034627659.574467
BHR,2009,24645079787.23404
BHR,2010,25713271276.595745
BHR,2011,26223297872.340427
BHR,2012,27200930851.06383
BHR,2013,28674361702.127663
BHR,2014,29921808510.638298
BHR,2015,30665478723.404255
BHR,2016,31756595744.68085
BHR,2017,33119255319.14894
BHR,2018,33708590425.531918
BHR,2019,34321808510.6383
BHS,1960,1942547494.4769666
BHS,1961,2149760928.3209777
BHS,1962,2374453336.266288
BHS,1963,2624342116.1678653
BHS,1964,2899939167.10327
BHS,1965,3202275123.065321
BHS,1966,3492783239.375517
BHS,1967,3828024551.810077
BHS,1968,4150411728.727728
BHS,1969,4523187705.805378
BHS,1970,4267643453.326582
BHS,1971,4337057047.11872
BHS,1972,4185375592.559118
BHS,1973,4502106771.065884
BHS,1974,3747813489.4420776
BHS,1975,3193019924.643007
BHS,1976,3358583913.919247
BHS,1977,3666059894.00368
BHS,1978,4185889594.971361
BHS,1979,5280051656.782467
BHS,1980,5623005897.485795
BHS,1981,5104204595.717852
BHS,1982,5446130042.846191
BHS,1983,5642030165.284248
BHS,1984,6441570645.444663
BHS,1985,6752645694.082117
BHS,1986,6873990752.56306
BHS,1987,7079146336.340263
BHS,1988,7242653921.592297
BHS,1989,7729891137.120996
BHS,1990,7606502820.457598
BHS,1991,7288415243.114906
BHS,1992,7009590943.706038
BHS,1993,7031166905.6352005
BHS,1994,7252572418.593473
BHS,1995,7570144584.985826
BHS,1996,7889871944.772206
BHS,1997,8052599546.057022
BHS,1998,8432358980.273024
BHS,1999,9034816848.134209
BHS,2000,9409692544.770271
BHS,2001,9656711991.563549
BHS,2002,9917894277.338648
BHS,2003,9792479896.285833
BHS,2004,9878922051.45074
BHS,2005,10214337148.4409
BHS,2006,10471417094.648851
BHS,2007,10622910634.378536
BHS,2008,10376086537.088455
BHS,2009,9942801338.996332
BHS,2010,10095760000.0
BHS,2011,10157685792.513617
BHS,2012,10471221745.145655
BHS,2013,10190699858.554
BHS,2014,10298142085.312641
BHS,2015,10321877049.951141
BHS,2016,10470928720.890858
BHS,2017,10797162391.230736
BHS,2018,11123884435.328608
BHS,2019,11259359315.796095
BIH,1994,2758325394.1822586
BIH,1995,3332057032.016437
BIH,1996,6296177224.646758
BIH,1997,8461405738.935949
BIH,1998,9781384765.167994
BIH,1999,10720397672.84466
BIH,2000,11310019599.08309
BIH,2001,11807660380.062725
BIH,2002,12433466454.975557
BIH,2003,12930805077.23389
BIH,2004,13719579893.698412
BIH,2005,14921313134.843294
BIH,2006,15729153560.773113
BIH,2007,16650743291.584942
BIH,2008,17556851230.7796
BIH,2009,17029363372.831732
BIH,2010,17176781336.764408
BIH,2011,17341594485.604702
BIH,2012,17199074936.911217
BIH,2013,17603228545.332867
BIH,2014,17806343590.131157
BIH,2015,18356410773.062828
BIH,2016,18934602269.050873
BIH,2017,19535100848.82972
BIH,2018,20265727508.472435
BIH,2019,20808476283.1073
BLR,1990,31609653425.51718
BLR,1991,31230338984.78054
BLR,1992,28232226006.273235
BLR,1993,26086576309.699333
BLR,1994,23034445864.726223
BLR,1995,20638863381.580524
BLR,1996,21216752516.08324
BLR,1997,23635463449.75749
BLR,1998,25620840351.689964
BLR,1999,26491948709.259823
BLR,2000,28028482645.739677
BLR,2001,29352914216.19105
BLR,2002,30833847251.57925
BLR,2003,33005534486.777874
BLR,2004,36784583396.07685
BLR,2005,40242334795.74948
BLR,2006,44266566187.74274
BLR,2007,48073493773.26121
BLR,2008,52976989868.702896
BLR,2009,53082941363.82714
BLR,2010,57222490768.71434
BLR,2011,60300321142.658104
BLR,2012,61317669289.23634
BLR,2013,61932974220.84663
BLR,2014,63002175707.53235
BLR,2015,60589462935.558464
BLR,2016,59058702608.920135
BLR,2017,60554177331.83332
BLR,2018,62461148027.2823
BLR,2019,63224483611.52455
BLZ,1960,99372344.01500937
BLZ,1961,104233914.56326869
BLZ,1962,109333717.45674378
BLZ,1963,114752771.2153429
BLZ,1964,120490271.96998121
BLZ,1965,126431094.18386488
BLZ,1966,132462925.86199702
BLZ,1967,138970992.55367932
BLZ,1968,149209298.89514273
BLZ,1969,156828484.91974142
BLZ,1970,164368317.5818219
BLZ,1971,170876384.2735042
BLZ,1972,188337052.40775475
BLZ,1973,198416652.02418166
BLZ,1974,225321920.6170522
BLZ,1975,233417341.65520102
BLZ,1976,233337930.87346244
BLZ,1977,248496949.5601416
BLZ,1978,268179913.77944532
BLZ,1979,288339055.59307885
BLZ,1980,327082256.8931931
BLZ,1981,330790620.08843315
BLZ,1982,330434324.0938916
BLZ,1983,323352521.84742266
BLZ,1984,329729243.839316
BLZ,1985,333067798.31273556
BLZ,1986,348187267.6562576
BLZ,1987,385566229.79030836
BLZ,1988,423304339.7815866
BLZ,1989,478372937.39895016
BLZ,1990,533115012.199522
BLZ,1991,594231511.3612673
BLZ,1992,665892535.7681882
BLZ,1993,707681899.8207211
BLZ,1994,708610598.2905982
BLZ,1995,713261555.1386281
BLZ,1996,723367337.9195329
BLZ,1997,749263406.2956012
BLZ,1998,777169147.3837813
BLZ,1999,845440600.3752344
BLZ,2000,955513245.7786115
BLZ,2001,1000300237.6485302
BLZ,2002,1047613675.213675
BLZ,2003,1145398607.4629974
BLZ,2004,1200233962.8934748
BLZ,2005,1223661004.794663
BLZ,2006,1282630544.090056
BLZ,2007,1289176335.2095058
BLZ,2008,1334135584.7404625
BLZ,2009,1337063964.9781113
BLZ,2010,1377200000.0
BLZ,2011,1403670260.5795288
BLZ,2012,1437547600.5836983
BLZ,2013,1456266266.4165106
BLZ,2014,1509206787.5755682
BLZ,2015,1552213783.6147592
BLZ,2016,1553534425.6827185
BLZ,2017,1582588551.1778195
BLZ,2018,1615489764.436106
BLZ,2019,1619911044.4027517
BMU,1960,1481304218.128332
BMU,1961,1550629255.5366976
BMU,1962,1619942383.259239
BMU,1963,1637275766.7600882
BMU,1964,1819177104.4470906
BMU,1965,1905769934.6188571
BMU,1966,2179507797.9549575
BMU,1967,2468838324.392487
BMU,1968,2520813868.0639396
BMU,1969,2607439774.1829534
BMU,1970,2772028995.809216
BMU,1971,2867317492.540106
BMU,1972,2919293036.211568
BMU,1973,2962605989.271004
BMU,1974,2988593761.1068006
BMU,1975,3101207439.061471
BMU,1976,3378410338.642404
BMU,1977,3577649922.7162175
BMU,1978,3629625466.38768
BMU,1979,3707588781.8947983
BMU,1980,4002116862.6995115
BMU,1981,4097405359.4304104
BMU,1982,3880840594.132817
BMU,1983,3958803909.6399446
BMU,1984,3977861608.9861975
BMU,1985,3898165775.356597
BMU,1986,4158043493.7137494
BMU,1987,4313970124.727996
BMU,1988,4488954455.088496
BMU,1989,4508878413.495803
BMU,1990,4509744672.557109
BMU,1991,4350353065.312893
BMU,1992,4347754194.430951
BMU,1993,4478559301.453451
BMU,1994,4505413381.356288
BMU,1995,4703613168.145133
BMU,1996,4825929496.970858
BMU,1997,5047922261.1852045
BMU,1998,5244791293.7161665
BMU,1999,5422204052.923288
BMU,2000,5927399287.214043
BMU,2001,6355501907.709195
BMU,2002,6261580912.262194
BMU,2003,6475145040.91349
BMU,2004,6625450412.050866
BMU,2005,6736374176.523873
BMU,2006,7109829729.285193
BMU,2007,7347663466.785879
BMU,2008,7210559312.226661
BMU,2009,6804842936.490197
BMU,2010,6634526000.0
BMU,2011,6386212655.148108
BMU,2012,6047404972.19919
BMU,2013,6030489863.715611
BMU,2014,5807297357.631733
BMU,2015,5852334673.382451
BMU,2016,5813872760.962634
BMU,2017,6023836115.153533
BMU,2018,5997764874.11684
BMU,2019,6025347991.578979
BOL,1960,3676733525.175305
BOL,1961,3753551369.2903028
BOL,1962,3962958916.946252
BOL,1963,4232346033.8274183
BOL,1964,4399802890.267065
BOL,1965,4615984651.423264
BOL,1966,4946977969.670187
BOL,1967,5259489427.507386
BOL,1968,5708094584.725292
BOL,1969,5963480292.205152
BOL,1970,6275431693.666319
BOL,1971,6593177913.037175
BOL,1972,7118488388.312675
BOL,1973,7527029934.914804
BOL,1974,7748292084.375408
BOL,1975,8314771092.19604
BOL,1976,8698461815.516413
BOL,1977,9130881110.994745
BOL,1978,9318310211.891005
BOL,1979,9330735623.531883
BOL,1980,9202738913.255287
BOL,1981,9228103504.29005
BOL,1982,8864632406.214783
BOL,1983,8506313462.4271555
BOL,1984,8489243333.263472
BOL,1985,8346930749.439544
BOL,1986,8132091222.170903
BOL,1987,8332423431.104801
BOL,1988,8574855687.293601
BOL,1989,8899853869.20481
BOL,1990,9312432040.848457
BOL,1991,9802873832.604145
BOL,1992,9964277849.567902
BOL,1993,10389682135.642508
BOL,1994,10874596698.20806
BOL,1995,11383339974.353947
BOL,1996,11879806482.10774
BOL,1997,12468356893.495472
BOL,1998,13095434492.335403
BOL,1999,13151337537.207825
BOL,2000,13481147773.334314
BOL,2001,13708143466.132513
BOL,2002,14048868261.318727
BOL,2003,14429780945.374298
BOL,2004,15031978173.67256
